site_id,year,month,region,co2_ppm,enso,temp_c,rainfall_mm,human_disturbance,ndvi,landcover,species_presence
147,2395,8,Boreal,474.28,0.646,16.8,71.94,0.107,0.113,Urban,1
5,2500,6,Temperate,499.79,0.797,18.35,86.81,0.16,0.222,Urban,0
39,2503,4,Temperate,499.59,-1.048,18.73,138.86,0.123,0.423,Urban,1
17,2318,2,Mediterranean,455.66,-0.405,16.35,109.16,0.376,0.353,Grassland,0
46,2703,11,Temperate,547.01,-0.92,20.25,103.26,0.262,0.007,Grassland,0
69,2439,2,Savanna,486.26,-0.604,18.25,124.99,0.276,0.254,Forest,1
97,2574,10,Temperate,516.8,-0.033,18.67,106.1,0.55,-0.1,Grassland,0
109,2442,6,Boreal,487.81,-0.051,18.93,122.17,0.474,0.129,Grassland,1
31,2002,8,Savanna,381.09,0.18,15.08,76.58,0.271,0.225,Urban,0
74,2472,11,Mediterranean,493.05,-0.336,19.23,111.08,0.301,-0.043,Forest,0
186,2365,7,Mediterranean,466.34,0.767,17.24,107.38,0.515,0.089,Grassland,1
29,2002,6,Savanna,379.73,0.139,14.43,95.59,0.357,0.461,Grassland,1
2,2350,3,Boreal,465.83,0.202,18.0,135.9,0.213,0.274,Forest,1
107,2625,8,Savanna,530.35,0.349,20.55,78.11,0.417,-0.1,Urban,0
135,2061,4,Boreal,394.75,1.144,16.32,99.69,0.031,0.382,Forest,1
67,2172,4,Temperate,420.35,0.332,15.11,112.41,0.265,0.448,Urban,0
106,2008,11,Boreal,381.58,-1.372,13.41,92.71,0.523,0.137,Forest,0
44,2803,9,Temperate,571.43,-1.063,22.3,92.76,0.205,-0.002,Forest,1
94,2741,3,Tropical,556.37,1.032,22.5,93.14,0.239,0.299,Forest,0
20,2668,5,Temperate,539.61,-1.173,20.34,118.07,0.246,0.313,Forest,1
32,2186,1,Savanna,425.88,0.704,16.35,98.04,0.0,0.387,Grassland,0
193,2082,10,Temperate,397.4,-0.257,15.49,101.68,0.286,0.276,Forest,1
12,2784,5,Mediterranean,567.65,-0.948,20.98,131.61,0.126,0.254,Forest,1
58,2588,3,Savanna,520.02,-0.64,19.07,126.18,0.244,0.349,Urban,1
189,2565,10,Boreal,516.65,0.525,19.5,84.81,0.275,-0.005,Forest,1
160,2030,1,Boreal,389.16,-0.105,12.8,134.24,0.134,0.375,Forest,0
104,2025,5,Tropical,385.56,0.228,14.12,121.31,0.424,0.557,Urban,0
27,2218,12,Temperate,9999.0,-0.988,16.93,76.8,0.25,0.201,Grassland,1
165,2747,2,Temperate,558.05,0.838,21.61,89.15,0.369,0.07,Forest,1
113,2376,2,Boreal,469.74,1.149,19.04,102.66,0.099,0.256,Urban,0
110,2492,7,Tropical,497.55,-0.199,18.45,88.03,0.348,0.256,Urban,0
113,2692,10,Boreal,546.61,-0.382,19.38,70.64,0.0,0.011,Forest,1
100,2258,5,Savanna,443.19,-0.253,16.47,108.2,0.244,0.404,Forest,1
103,2475,4,Temperate,497.66,0.088,19.29,132.0,0.47,0.267,Urban,0
98,2324,11,Temperate,458.34,-0.236,15.52,102.98,0.107,0.218,Grassland,0
40,2453,5,Savanna,488.02,-1.163,18.25,104.59,0.208,0.34,Forest,0
130,2660,11,Boreal,537.67,1.164,22.31,86.78,0.226,-0.07,Forest,1
21,2051,10,Mediterranean,392.42,0.823,14.74,46.93,0.319,0.106,Grassland,1
35,2602,12,Mediterranean,523.82,-0.162,19.43,105.92,0.68,-0.1,Urban,0
98,2208,3,Temperate,430.99,-0.612,15.53,120.87,0.102,0.498,Urban,1
113,2059,6,Boreal,393.7,-0.637,14.2,86.4,0.067,0.319,Forest,1
3,2700,4,Mediterranean,547.68,0.298,20.96,122.49,0.335,0.18,Forest,1
55,2237,12,Tropical,437.54,-0.476,17.72,99.44,0.409,0.381,Forest,1
69,2355,10,Savanna,466.43,0.812,18.11,96.22,0.385,,Grassland,0
108,2242,5,Boreal,436.94,0.226,17.23,92.6,0.303,0.265,Forest,1
80,2673,5,Mediterranean,543.52,-0.983,21.29,116.24,0.399,0.157,Urban,0
116,2376,5,Temperate,470.5,1.185,17.1,93.82,0.29,0.34,Grassland,0
61,2105,2,Savanna,404.03,0.23,14.95,134.38,0.349,0.44,Grassland,0
160,2263,5,Boreal,443.39,-0.948,17.14,135.63,0.249,0.305,Urban,1
170,2080,11,Tropical,399.99,1.11,15.26,63.23,0.691,0.334,Forest,0
112,2326,1,Mediterranean,456.41,1.046,17.08,83.53,0.162,0.162,Forest,1
198,2433,3,Mediterranean,483.89,-0.826,18.32,122.24,0.305,0.306,Grassland,0
46,2737,3,Temperate,556.56,0.379,21.49,124.9,0.246,0.31,Forest,0
59,2021,8,Temperate,384.69,1.07,13.75,86.22,0.17,0.348,Grassland,0
190,2315,11,Temperate,455.94,0.765,16.84,85.23,0.548,0.063,Forest,1
2,2766,11,Boreal,566.04,0.53,20.33,97.46,0.25,-0.077,Forest,1
87,2040,8,Tropical,389.35,0.67,13.8,87.63,0.294,0.507,Grassland,0
107,2658,12,Savanna,539.21,-1.222,20.0,85.38,0.366,-0.1,Grassland,1
118,2043,3,Tropical,391.41,-0.685,13.19,138.24,0.534,0.556,Forest,0
142,2695,3,Savanna,546.63,0.297,20.45,121.69,0.232,0.282,Forest,0
111,2025,12,Boreal,386.75,0.897,15.35,100.08,0.136,0.275,Forest,1
31,2269,4,Savanna,444.12,-0.374,17.11,123.98,0.291,0.513,Grassland,0
132,2661,1,Savanna,540.48,0.866,21.34,101.46,0.24,0.064,Grassland,0
57,2621,6,Temperate,530.5,1.251,21.55,96.49,0.072,0.338,Urban,0
183,2815,4,Temperate,575.83,0.068,22.54,131.76,0.103,0.264,Grassland,0
183,2431,12,Temperate,484.63,0.685,18.36,83.46,0.226,0.19,Grassland,0
76,2673,1,Tropical,540.32,-0.624,19.87,103.08,0.234,0.337,Urban,0
101,2541,10,Tropical,509.37,0.873,20.33,71.64,0.414,0.155,Forest,1
190,2565,11,Temperate,515.96,0.884,19.89,93.16,0.589,-0.1,Grassland,0
172,2647,9,Temperate,535.94,-0.358,21.56,79.44,0.158,0.127,Forest,0
137,2228,2,Temperate,435.35,-0.731,16.17,128.62,0.182,0.365,Grassland,0
41,2653,6,Tropical,536.63,-0.915,19.1,114.86,0.258,0.331,Forest,1
61,2521,10,Savanna,505.73,0.853,19.83,89.43,0.427,-0.1,Forest,0
5,2683,10,Temperate,544.0,-0.899,20.62,77.85,0.185,,Forest,0
47,2103,12,Mediterranean,403.88,-0.882,14.41,71.16,0.167,0.296,Forest,0
135,2777,12,Boreal,568.48,-0.314,20.74,93.85,0.107,-0.07,Forest,1
194,2349,7,Savanna,463.71,-0.852,17.09,-98.59,0.336,0.198,Grassland,0
0,2666,9,Savanna,541.51,0.981,21.85,64.62,0.311,-0.1,Grassland,0
177,2614,10,Tropical,527.31,-0.42,19.9,75.92,0.492,0.182,Forest,0
34,2286,3,Boreal,450.69,0.685,17.12,124.85,0.272,0.241,Forest,1
181,2448,6,Boreal,488.94,-1.029,17.76,109.6,0.068,0.253,Forest,0
158,2079,11,Tropical,400.88,0.421,16.29,101.29,0.317,0.474,Forest,0
16,2034,9,Savanna,390.17,-0.45,13.71,80.88,0.169,0.121,Grassland,0
141,2478,6,Mediterranean,494.73,-0.919,18.11,110.2,0.091,0.279,Urban,1
127,2560,8,Savanna,513.77,0.64,19.23,136.29,0.143,0.131,Forest,1
181,2365,2,Boreal,468.65,0.04,17.72,127.41,0.141,0.303,Forest,1
196,2433,1,Boreal,483.5,-0.563,18.51,123.69,0.268,0.11,Grassland,0
112,2092,9,Mediterranean,404.71,0.113,15.41,94.49,0.202,0.161,Forest,1
88,2224,1,Savanna,435.49,-1.023,17.72,-81.54,0.017,0.251,Grassland,1
72,2539,5,Mediterranean,509.61,-0.714,17.82,118.42,0.238,0.255,Forest,1
19,2734,12,Savanna,557.68,-0.126,21.78,89.99,0.476,-0.1,Grassland,0
7,2650,8,Boreal,534.57,1.031,22.07,80.21,0.083,0.081,Forest,1
10,2284,3,Savanna,447.52,-1.042,15.7,104.06,0.195,0.461,Forest,1
80,2006,9,Mediterranean,382.24,1.253,14.34,92.5,0.424,0.144,Urban,0
13,2384,6,Temperate,472.37,-0.565,16.02,94.21,0.425,0.248,Urban,0
173,2114,6,Savanna,406.6,-0.615,15.24,107.04,0.039,0.496,Forest,0
109,2125,10,Boreal,410.99,0.962,16.2,96.32,0.506,0.137,Forest,1
42,2536,11,Savanna,509.09,0.922,20.03,88.18,0.318,-0.059,Urban,0
70,2255,11,Tropical,440.53,0.624,17.46,112.76,0.414,0.364,Forest,1
15,2251,4,Temperate,439.33,0.867,17.3,104.42,0.345,0.335,Forest,1
22,2401,11,Savanna,476.11,0.946,19.26,90.02,0.035,0.043,Grassland,0
21,2651,10,Mediterranean,535.36,0.753,21.32,74.9,0.256,-0.1,Urban,0
92,2007,9,Boreal,380.66,-0.219,13.43,79.03,0.06,0.282,Forest,1
20,2785,1,Temperate,568.86,-0.038,22.57,126.97,0.309,0.103,Forest,1
199,2549,12,Savanna,510.79,-0.089,20.04,114.81,0.0,0.176,Forest,1
42,2370,3,Savanna,469.49,-0.034,18.18,96.95,0.299,0.323,Forest,0
1,2633,6,Mediterranean,532.22,-0.873,21.02,107.26,0.333,0.14,Forest,1
34,2319,7,Boreal,455.73,-0.391,16.38,93.02,0.311,0.216,Forest,1
101,2808,6,Tropical,572.13,-0.763,21.36,92.37,0.442,0.133,Urban,0
121,2360,2,Savanna,466.99,0.319,18.7,124.08,0.263,0.357,Grassland,0
193,2282,10,Temperate,449.09,-0.437,16.57,85.19,0.328,0.12,Forest,1
151,2395,12,Tropical,475.82,1.155,18.84,98.22,0.405,0.26,Forest,1
28,2602,5,Savanna,526.36,0.469,18.21,77.53,0.083,0.306,Grassland,0
190,2765,11,Temperate,564.74,0.928,22.74,86.85,0.61,-0.1,Forest,0
160,2196,9,Boreal,427.76,0.569,15.04,69.53,0.191,0.184,Forest,1
147,2095,8,Boreal,401.38,0.722,16.33,97.82,0.218,0.235,Urban,0
65,2472,2,Savanna,493.18,0.436,18.01,135.53,0.442,0.174,Grassland,1
74,2672,11,Mediterranean,540.8,-0.228,21.95,90.41,0.324,-0.1,Urban,0
142,2411,11,Savanna,479.87,0.62,18.35,113.98,0.214,0.053,Forest,1
62,2305,3,Mediterranean,453.72,0.232,17.72,124.96,0.132,0.41,Urban,0
162,2130,3,Mediterranean,411.53,0.073,15.31,104.92,0.221,0.41,Forest,1
112,2342,9,Mediterranean,463.68,0.119,18.43,67.48,0.314,0.036,Grassland,0
49,2754,2,Savanna,562.06,-0.708,20.48,118.37,0.133,0.26,Grassland,0
75,2772,12,Temperate,564.37,-0.944,20.64,79.08,0.155,0.04,Urban,0
137,2711,6,Temperate,550.48,1.016,22.15,119.37,0.26,0.213,Forest,0
194,2066,3,Savanna,395.1,1.22,15.5,107.89,0.391,0.477,Forest,1
53,2487,10,Mediterranean,498.23,-0.248,19.59,84.34,0.253,-0.041,Forest,1
18,2634,11,Tropical,529.67,-0.128,19.88,96.0,0.669,0.034,Forest,0
193,2132,10,Temperate,411.34,-0.19,15.67,76.26,0.334,0.193,Grassland,0
17,2618,2,Mediterranean,529.36,-0.364,19.16,105.28,0.245,0.186,Grassland,0
66,2438,11,Temperate,483.25,-1.313,17.23,94.92,0.356,0.124,Forest,1
146,2595,7,Savanna,523.46,0.651,20.46,66.74,0.231,0.043,Grassland,0
88,2007,5,Savanna,381.09,0.038,12.85,104.18,0.031,0.567,Grassland,0
94,2724,7,Tropical,9999.0,-0.541,20.42,82.88,0.212,0.232,Forest,1
131,2810,12,Mediterranean,575.17,0.736,21.6,112.25,0.244,-0.027,Grassland,0
45,2787,2,Tropical,567.87,0.395,22.09,157.56,0.134,0.428,Forest,1
153,2562,10,Tropical,515.38,-0.274,18.77,92.99,0.079,0.352,Forest,1
101,2291,10,Tropical,452.52,0.533,16.56,82.03,0.388,0.286,Urban,0
33,2186,2,Tropical,423.5,0.904,16.14,120.99,0.099,0.591,Forest,1
2,2233,7,Boreal,435.96,-1.036,16.91,86.94,0.216,0.168,Forest,1
23,2368,8,Tropical,467.37,-0.893,16.35,55.33,0.049,0.436,Forest,1
62,2471,11,Mediterranean,493.86,0.771,19.16,89.97,0.237,-0.005,Grassland,1
169,2597,6,Savanna,522.75,0.084,19.33,72.54,0.469,0.094,Grassland,0
136,2694,9,Savanna,546.72,-0.434,20.84,75.29,0.255,-0.1,Forest,0
147,2178,12,Boreal,422.39,-0.729,14.78,125.58,0.224,0.189,Forest,1
168,2664,1,Tropical,537.68,-1.07,18.88,121.71,0.188,0.341,Grassland,0
150,2545,11,Tropical,511.29,1.07,21.33,82.0,0.205,0.316,Forest,1
42,2636,11,Savanna,530.35,0.541,20.16,95.37,0.305,-0.07,Grassland,0
163,2513,8,Tropical,502.46,-0.813,19.55,57.33,0.072,0.382,Forest,1
94,2124,7,Tropical,408.78,-1.041,15.51,107.27,0.328,0.473,Forest,1
95,2641,4,Boreal,532.02,1.145,21.82,126.54,0.202,0.167,Urban,0
93,2591,2,Boreal,521.63,1.11,19.94,108.22,0.086,0.249,Forest,1
8,2117,5,Boreal,407.85,-0.036,15.64,74.34,0.274,0.265,Forest,1
90,2557,7,Boreal,513.64,-0.067,19.67,95.25,0.474,-0.002,Forest,0
0,2283,5,Savanna,448.59,-0.77,15.14,89.72,0.284,0.404,Forest,1
108,2009,1,Boreal,382.11,-1.183,11.95,96.69,0.289,0.285,Forest,0
35,2469,8,Mediterranean,492.16,-0.295,18.35,97.2,0.678,-0.1,Urban,0
81,2706,10,Tropical,549.82,0.834,21.53,80.63,0.093,0.273,Forest,1
3,2550,4,Mediterranean,511.62,0.203,20.45,91.06,0.363,0.243,Forest,1
90,2090,11,Boreal,402.05,0.95,15.42,64.68,0.442,0.171,Grassland,0
159,2463,4,Boreal,488.87,-1.059,18.75,132.21,0.397,0.187,Grassland,0
11,2784,4,Boreal,569.97,-1.265,19.73,112.02,0.119,0.17,Forest,1
142,2678,7,Savanna,543.27,-0.689,19.74,84.65,0.232,0.064,Grassland,0
63,2721,12,Temperate,553.08,0.539,21.81,100.17,0.558,-0.1,Urban,0
195,2549,8,Boreal,512.5,-0.698,18.71,96.73,0.336,-0.016,Forest,0
23,2051,12,Tropical,389.88,0.883,15.78,84.73,0.067,0.518,Forest,1
70,2572,7,Tropical,516.99,0.214,19.38,94.44,0.366,0.236,Forest,0
13,2401,2,Temperate,475.4,0.662,17.27,108.39,0.333,0.268,Urban,1
152,2546,1,Tropical,512.17,1.163,19.62,100.18,0.327,0.289,Forest,0
129,2627,6,Mediterranean,531.58,-0.05,19.03,73.34,0.635,-0.087,Forest,0
195,2482,12,Boreal,496.01,-0.316,19.67,97.94,0.368,0.004,Forest,1
36,2619,9,Boreal,527.47,-0.25,20.06,82.26,0.521,-0.1,Grassland,0
