time_index,year,month,region,co2_ppm,enso_index,volcanic_activity,ocean_heat_index,temperature_anomaly,rainfall_mm,humidity_pct,CO2_Reduction_Percent,Deforestation_Percent,Renewable_Energy_Percent,Urban_Heat_Control_Percent,Water_Conservation_Percent,Irrigation_Efficiency_Percent,Temperature_with_scenario,CO2_with_scenario,Rainfall_with_scenario
8328,2594,1,Temperate,445.76,-0.639,0.0,3.709,0.695,108.08,73.43,0.0,0.0,0.0,0.0,0.0,0.0,0.695,445.76,108.08
3337,2178,2,Tropics,355.51,0.05,0.0,3.176,1.333,176.12,84.77,0.0,0.0,0.0,0.0,0.0,0.0,1.333,355.51,176.12
5589,2365,10,Inland,394.92,0.529,0.0,4.516,3.422,122.25,57.19,0.0,0.0,0.0,0.0,0.0,0.0,3.422,394.92,122.25
251,1920,12,Coastal,299.62,0.881,0.0,3.496,0.856,145.67,87.55,0.0,0.0,0.0,0.0,0.0,0.0,0.856,299.62,145.67
3973,2231,2,Tropics,367.36,0.88,0.0,4.785,1.3,174.92,79.62,0.0,0.0,0.0,0.0,0.0,0.0,1.3,367.36,174.92
6630,2452,7,Tropics,413.39,-0.297,0.0,4.113,1.872,157.46,78.79,0.0,0.0,0.0,0.0,0.0,0.0,1.872,413.39,157.46
5547,2362,4,Polar,394.54,0.401,0.0,3.973,-1.719,37.12,61.88,0.0,0.0,0.0,0.0,0.0,0.0,-1.719,394.54,37.12
35,1902,12,Inland,295.67,-0.175,0.0,2.766,0.708,96.8,57.64,0.0,0.0,0.0,0.0,0.0,0.0,0.708,295.67,96.8
8362,2596,11,Coastal,446.19,1.255,0.0,5.562,2.483,140.81,86.36,0.0,0.0,0.0,0.0,0.0,0.0,2.483,446.19,140.81
1513,2026,2,Inland,321.13,0.922,0.0,4.219,-1.365,81.49,61.79,0.0,0.0,0.0,0.0,0.0,0.0,-1.365,321.13,81.49
9317,2676,6,Inland,459.85,1.224,0.0,5.641,2.472,91.91,55.56,0.0,0.0,0.0,0.0,0.0,0.0,2.472,459.85,91.91
39,1903,4,Temperate,295.22,-1.066,0.0,1.959,-1.545,83.15,77.23,0.0,0.0,0.0,0.0,0.0,0.0,-1.545,295.22,83.15
4819,2301,8,Temperate,383.0,1.198,0.0,4.626,1.516,127.08,69.45,0.0,0.0,0.0,0.0,0.0,0.0,1.516,383.0,127.08
3465,2188,10,Polar,356.87,-0.56,0.0,3.145,0.784,56.41,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.784,356.87,56.41
1760,2046,9,Coastal,326.65,1.062,0.0,4.0,0.99,138.65,85.94,0.0,0.0,0.0,0.0,0.0,0.0,0.99,326.65,138.65
2304,2092,1,Temperate,334.98,0.64,0.0,4.048,0.95,138.78,72.32,0.0,0.0,0.0,0.0,0.0,0.0,0.95,334.98,138.78
3723,2210,4,Polar,360.62,-0.003,0.0,3.682,-1.051,33.1,63.48,0.0,0.0,0.0,0.0,0.0,0.0,-1.051,360.62,33.1
8284,2590,5,Temperate,445.95,0.286,0.0,5.174,1.556,93.3,70.13,0.0,0.0,0.0,0.0,0.0,0.0,1.556,445.95,93.3
4993,2316,2,Inland,384.35,0.867,0.0,4.339,1.29,96.07,55.47,0.0,0.0,0.0,0.0,0.0,0.0,1.29,384.35,96.07
8127,2577,4,Temperate,441.96,-0.401,0.0,4.301,0.032,94.75,66.86,0.0,0.0,0.0,0.0,0.0,0.0,0.032,441.96,94.75
3032,2152,9,Temperate,348.49,-0.217,0.0,3.199,1.389,125.28,71.29,0.0,0.0,0.0,0.0,0.0,0.0,1.389,348.49,125.28
7938,2561,7,Tropics,436.68,0.947,0.0,5.209,2.274,137.16,81.03,0.0,0.0,0.0,0.0,0.0,0.0,2.274,436.68,137.16
3039,2153,4,Tropics,350.66,-1.328,0.0,2.302,0.502,158.5,87.45,0.0,0.0,0.0,0.0,0.0,0.0,0.502,350.66,158.5
9655,2704,8,Inland,9999.0,-0.916,0.0,3.759,3.4,100.8,61.6,0.0,0.0,0.0,0.0,0.0,0.0,3.4,9999.0,100.8
2545,2112,2,Temperate,340.78,0.788,0.0,3.933,0.513,124.83,76.77,0.0,0.0,0.0,0.0,0.0,0.0,0.513,340.78,124.83
2592,2116,1,Tropics,340.54,0.644,0.0,3.647,1.225,194.71,80.4,0.0,0.0,0.0,0.0,0.0,0.0,1.225,340.54,194.71
1188,1999,1,Temperate,319.45,-1.181,0.0,2.149,-0.937,114.23,75.13,0.0,0.0,0.0,0.0,0.0,0.0,-0.937,319.45,114.23
7966,2563,11,Coastal,435.44,-1.098,0.0,3.773,2.25,160.66,84.47,0.0,0.0,0.0,0.0,0.0,0.0,2.25,435.44,160.66
6077,2406,6,Temperate,402.06,1.215,0.0,5.339,-0.819,82.64,64.61,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,402.06,82.64
107,1908,12,Coastal,297.54,-0.916,0.0,2.598,0.947,170.1,87.68,0.0,0.0,0.0,0.0,0.0,0.0,0.947,297.54,170.1
1315,2009,8,Temperate,317.25,-0.009,0.0,3.353,0.288,99.73,71.72,0.0,0.0,0.0,0.0,0.0,0.0,0.288,317.25,99.73
8187,2582,4,Temperate,443.58,-0.03,0.0,4.681,1.663,90.06,66.35,0.0,0.0,0.0,0.0,0.0,0.0,1.663,443.58,90.06
2753,2129,6,Inland,345.13,-0.255,0.0,3.479,-0.717,56.51,54.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.717,345.13,56.51
9753,2712,10,Temperate,9999.0,-0.16,0.0,4.593,2.72,125.25,69.4,0.0,0.0,0.0,0.0,0.0,0.0,2.72,9999.0,125.25
6231,2419,4,Temperate,406.48,-0.452,0.0,3.894,-0.344,84.31,70.61,0.0,0.0,0.0,0.0,0.0,0.0,-0.344,406.48,84.31
2876,2139,9,Inland,346.36,-0.691,0.0,2.577,4.481,109.91,53.8,0.0,0.0,0.0,0.0,0.0,0.0,4.481,346.36,109.91
5323,2343,8,Tropics,391.54,-1.593,0.0,2.465,0.683,185.94,85.81,0.0,0.0,0.0,0.0,0.0,0.0,0.683,391.54,185.94
799,1966,8,Polar,306.97,0.803,0.0,3.67,-1.337,44.39,64.13,0.0,0.0,0.0,0.0,0.0,0.0,-1.337,306.97,44.39
3570,2197,7,Inland,358.47,-0.084,0.0,3.735,1.555,69.53,53.45,0.0,0.0,0.0,0.0,0.0,0.0,1.555,358.47,69.53
2894,2141,3,Inland,344.64,1.038,0.0,4.189,-1.406,87.9,59.65,0.0,0.0,0.0,0.0,0.0,0.0,-1.406,344.64,87.9
2927,2143,12,Inland,345.29,-1.055,0.0,2.858,1.579,100.07,62.56,0.0,0.0,0.0,0.0,0.0,0.0,1.579,345.29,100.07
8178,2581,7,Coastal,441.49,0.854,0.0,5.001,1.513,112.73,85.14,0.0,0.0,0.0,0.0,0.0,0.0,1.513,441.49,112.73
971,1980,12,Inland,312.18,0.697,0.0,3.792,2.154,101.98,55.78,0.0,0.0,0.0,0.0,0.0,0.0,2.154,312.18,101.98
6687,2457,4,Tropics,413.44,0.546,0.0,4.352,1.832,131.06,80.49,0.0,0.0,0.0,0.0,0.0,0.0,1.832,413.44,131.06
8575,2614,8,Tropics,447.5,-0.278,0.0,4.204,2.631,193.54,82.17,0.0,0.0,0.0,0.0,0.0,0.0,2.631,447.5,193.54
2020,2068,5,Coastal,330.86,-1.319,0.0,2.132,-0.417,108.6,88.99,0.0,0.0,0.0,0.0,0.0,0.0,-0.417,330.86,108.6
9054,2654,7,Polar,459.1,0.258,0.0,4.182,1.264,32.78,60.25,0.0,0.0,0.0,0.0,0.0,0.0,1.264,459.1,32.78
952,1979,5,Coastal,312.03,-0.413,0.0,3.059,-0.112,113.19,80.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.112,312.03,113.19
5359,2346,8,Temperate,391.83,1.389,0.0,5.083,,101.47,70.22,0.0,0.0,0.0,0.0,0.0,0.0,,391.83,101.47
3857,2221,6,Tropics,364.77,1.132,0.0,4.727,1.377,117.59,80.64,0.0,0.0,0.0,0.0,0.0,0.0,1.377,364.77,117.59
5861,2388,6,Polar,402.78,-1.058,0.0,3.218,-2.255,36.41,65.52,0.0,0.0,0.0,0.0,0.0,0.0,-2.255,402.78,36.41
3145,2162,2,Tropics,349.58,0.45,0.0,3.958,0.953,182.17,79.14,0.0,0.0,0.0,0.0,0.0,0.0,0.953,349.58,182.17
3305,2175,6,Polar,352.84,0.112,0.0,3.497,-1.923,25.13,62.33,0.0,0.0,0.0,0.0,0.0,0.0,-1.923,352.84,25.13
3006,2150,7,Coastal,347.44,0.448,0.0,3.734,0.42,125.7,90.44,0.0,0.0,0.0,0.0,0.0,0.0,0.42,347.44,125.7
9001,2650,2,Temperate,455.03,-0.273,0.0,4.53,1.527,109.91,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527,455.03,109.91
7770,2547,7,Temperate,435.23,0.351,0.0,4.456,2.15,108.41,73.41,0.0,0.0,0.0,0.0,0.0,0.0,2.15,435.23,108.41
7438,2519,11,Temperate,427.16,-0.312,0.0,4.124,1.676,131.58,69.16,0.0,0.0,0.0,0.0,0.0,0.0,1.676,427.16,131.58
7942,2561,11,Tropics,437.03,0.55,0.0,4.74,2.79,208.85,82.69,0.0,0.0,0.0,0.0,0.0,0.0,2.79,437.03,208.85
9238,2669,11,Coastal,458.85,-0.069,0.0,4.608,1.978,153.2,85.44,0.0,0.0,0.0,0.0,0.0,0.0,1.978,458.85,153.2
1056,1988,1,Temperate,312.74,-0.61,0.0,2.339,0.037,118.76,69.08,0.0,0.0,0.0,0.0,0.0,0.0,0.037,312.74,118.76
3154,2162,11,Coastal,351.03,-0.731,0.0,2.693,0.146,160.06,86.95,0.0,0.0,0.0,0.0,0.0,0.0,0.146,351.03,160.06
3787,2215,8,Tropics,363.98,0.741,0.0,4.176,1.678,170.06,79.67,0.0,0.0,0.0,0.0,0.0,0.0,1.678,363.98,170.06
9189,2665,10,Tropics,460.26,0.987,0.0,5.612,3.197,216.9,86.83,0.0,0.0,0.0,0.0,0.0,0.0,3.197,460.26,216.9
7825,2552,2,Coastal,435.83,0.461,0.0,4.782,1.667,133.46,88.62,0.0,0.0,0.0,0.0,0.0,0.0,1.667,435.83,133.46
7539,2528,4,Temperate,430.84,-1.024,0.0,3.372,0.697,93.82,65.8,0.0,0.0,0.0,0.0,0.0,0.0,0.697,430.84,93.82
7231,2502,8,Tropics,424.05,-0.873,0.0,3.836,2.171,176.13,84.05,0.0,0.0,0.0,0.0,0.0,0.0,2.171,424.05,176.13
764,1963,9,Temperate,308.16,-0.886,0.0,2.251,-0.485,103.11,74.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.485,308.16,103.11
5019,2318,4,Tropics,387.19,-0.087,0.0,3.42,1.34,133.63,83.25,0.0,0.0,0.0,0.0,0.0,0.0,1.34,387.19,133.63
4903,2308,8,Temperate,382.62,-0.518,0.0,3.353,2.08,-94.05,121.788,0.0,0.0,0.0,0.0,0.0,0.0,2.08,382.62,-94.05
8093,2574,6,Coastal,440.39,-1.195,0.0,3.33,1.375,110.53,84.68,0.0,0.0,0.0,0.0,0.0,0.0,1.375,440.39,110.53
6843,2470,4,Polar,418.69,0.528,0.0,4.286,-0.973,27.01,61.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.973,418.69,27.01
2165,2080,6,Polar,333.44,0.378,0.0,3.546,-1.585,34.07,59.07,0.0,0.0,0.0,0.0,0.0,0.0,-1.585,333.44,34.07
1862,2055,3,Temperate,329.48,-0.151,0.0,3.407,0.055,111.69,75.12,0.0,0.0,0.0,0.0,0.0,0.0,0.055,329.48,111.69
7850,2554,3,Coastal,437.63,-1.081,0.0,3.626,0.629,117.14,88.88,0.0,0.0,0.0,0.0,0.0,0.0,0.629,437.63,117.14
9123,2660,4,Temperate,460.93,0.207,0.0,4.608,2.113,108.36,69.86,0.0,0.0,0.0,0.0,0.0,0.0,2.113,460.93,108.36
2340,2095,1,Polar,336.63,-0.103,0.0,3.111,-0.214,47.82,65.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.214,336.63,47.82
5527,2360,8,Polar,391.12,0.489,0.0,4.399,-1.068,52.52,67.34,0.0,0.0,0.0,0.0,0.0,0.0,-1.068,391.12,52.52
6743,2461,12,Coastal,415.86,1.031,0.0,4.736,2.556,161.93,85.35,0.0,0.0,0.0,0.0,0.0,0.0,2.556,415.86,161.93
4003,2233,8,Inland,368.05,-0.889,0.0,3.501,1.178,78.92,60.37,0.0,0.0,0.0,0.0,0.0,0.0,1.178,368.05,78.92
1123,1993,8,Polar,316.92,-1.388,0.0,2.246,-0.941,35.6,65.47,0.0,0.0,0.0,0.0,0.0,0.0,-0.941,316.92,35.6
8709,2625,10,Temperate,451.92,0.548,0.0,4.909,3.13,128.84,75.07,0.0,0.0,0.0,0.0,0.0,0.0,3.13,451.92,128.84
4049,2237,6,Coastal,365.97,-0.062,0.0,3.117,1.172,104.77,82.49,0.0,0.0,0.0,0.0,0.0,0.0,1.172,365.97,104.77
7640,2536,9,Polar,432.25,1.514,0.0,5.216,1.006,45.11,58.68,0.0,0.0,0.0,0.0,0.0,0.0,1.006,432.25,45.11
765,1963,10,Coastal,309.83,-1.032,0.0,2.019,0.424,168.82,88.34,0.0,0.0,0.0,0.0,0.0,0.0,0.424,309.83,168.82
2344,2095,5,Temperate,335.46,0.167,0.0,3.832,0.296,77.81,69.84,0.0,0.0,0.0,0.0,0.0,0.0,0.296,335.46,77.81
4071,2239,4,Inland,369.33,-0.915,0.0,3.37,-0.809,98.99,63.96,0.0,0.0,0.0,0.0,0.0,0.0,-0.809,369.33,98.99
7216,2501,5,Polar,424.41,1.234,0.0,5.341,-1.43,47.38,61.19,0.0,0.0,0.0,0.0,0.0,0.0,-1.43,424.41,47.38
4216,2251,5,Tropics,372.03,1.029,0.0,4.186,0.749,118.62,74.25,0.0,0.0,0.0,0.0,0.0,0.0,0.749,372.03,118.62
7952,2562,9,Tropics,438.77,-0.045,0.0,4.497,2.646,190.0,84.8,0.0,0.0,0.0,0.0,0.0,0.0,2.646,438.77,190.0
5970,2397,7,Tropics,400.2,-0.053,0.0,4.09,0.997,141.52,83.38,0.0,0.0,0.0,0.0,0.0,0.0,0.997,400.2,141.52
3350,2179,3,Polar,357.3,-0.568,0.0,3.268,-1.439,37.58,64.36,0.0,0.0,0.0,0.0,0.0,0.0,-1.439,357.3,37.58
4695,2291,4,Temperate,376.4,0.79,0.0,4.259,-0.39,-102.42,127.44,0.0,0.0,0.0,0.0,0.0,0.0,-0.39,376.4,-102.42
3399,2183,4,Coastal,355.89,-0.946,0.0,2.874,-0.275,106.64,82.96,0.0,0.0,0.0,0.0,0.0,0.0,-0.275,355.89,106.64
4081,2240,2,Inland,367.67,0.332,0.0,3.95,-0.161,102.61,60.11,0.0,0.0,0.0,0.0,0.0,0.0,-0.161,367.67,102.61
9149,2662,6,Tropics,459.2,-0.412,0.0,3.992,2.034,143.23,76.73,0.0,0.0,0.0,0.0,0.0,0.0,2.034,459.2,143.23
1224,2002,1,Polar,318.53,0.158,0.0,3.2,-0.597,57.34,60.56,0.0,0.0,0.0,0.0,0.0,0.0,-0.597,318.53,57.34
6292,2424,5,Polar,408.81,-0.559,0.0,3.516,-2.491,61.15,61.67,0.0,0.0,0.0,0.0,0.0,0.0,-2.491,408.81,61.15
3122,2160,3,Coastal,351.17,0.402,0.0,3.818,0.351,110.51,84.71,0.0,0.0,0.0,0.0,0.0,0.0,0.351,351.17,110.51
510,1942,7,Polar,306.82,0.183,0.0,3.279,-1.942,34.64,65.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.942,306.82,34.64
5794,2382,11,Inland,400.43,-0.299,0.0,3.904,2.756,102.19,60.79,0.0,0.0,0.0,0.0,0.0,0.0,2.756,400.43,102.19
8181,2581,10,Inland,443.44,1.134,0.0,5.543,3.872,115.9,53.27,0.0,0.0,0.0,0.0,0.0,0.0,3.872,443.44,115.9
9417,2684,10,Inland,463.76,-0.72,0.0,3.834,4.811,113.2,53.42,0.0,0.0,0.0,0.0,0.0,0.0,4.811,463.76,113.2
96,1908,1,Inland,294.36,-0.258,0.0,2.92,0.093,101.28,63.04,0.0,0.0,0.0,0.0,0.0,0.0,0.093,294.36,101.28
6681,2456,10,Inland,416.8,0.962,0.0,4.798,5.585,107.93,57.86,0.0,0.0,0.0,0.0,0.0,0.0,5.585,416.8,107.93
1512,2026,1,Temperate,323.5,0.917,0.0,4.142,1.159,131.57,68.64,0.0,0.0,0.0,0.0,0.0,0.0,1.159,323.5,131.57
8791,2632,8,Tropics,453.53,-0.114,0.0,4.416,2.345,171.89,75.15,0.0,0.0,0.0,0.0,0.0,0.0,2.345,453.53,171.89
119,1909,12,Temperate,298.95,0.376,0.0,3.394,-0.262,118.32,70.22,0.0,0.0,0.0,0.0,0.0,0.0,-0.262,298.95,118.32
7791,2549,4,Inland,435.12,-0.815,0.0,3.772,-1.22,64.2,55.69,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,435.12,64.2
6517,2443,2,Tropics,411.66,-0.505,0.0,3.925,2.131,187.96,90.35,0.0,0.0,0.0,0.0,0.0,0.0,2.131,411.66,187.96
33,1902,10,Tropics,295.0,-0.14,0.0,2.571,0.765,229.85,87.64,0.0,0.0,0.0,0.0,0.0,0.0,0.765,295.0,229.85
7887,2557,4,Tropics,438.06,0.609,0.0,5.032,-0.6139999999999999,117.39,75.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.6139999999999999,438.06,117.39
6830,2469,3,Tropics,419.22,-1.086,0.0,3.491,1.721,157.22,80.47,0.0,0.0,0.0,0.0,0.0,0.0,1.721,419.22,157.22
5421,2351,10,Temperate,392.89,0.372,0.0,4.36,2.134,125.5,69.55,0.0,0.0,0.0,0.0,0.0,0.0,2.134,392.89,125.5
1068,1989,1,Tropics,313.23,-0.836,0.0,2.63,0.377,216.01,88.64,0.0,0.0,0.0,0.0,0.0,0.0,0.377,313.23,216.01
1347,2012,4,Inland,318.62,0.522,0.0,3.551,-1.29,73.47,58.95,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,318.62,73.47
4747,2295,8,Inland,379.1,0.176,0.0,3.447,1.849,89.38,63.93,0.0,0.0,0.0,0.0,0.0,0.0,1.849,379.1,89.38
6005,2400,6,Inland,402.0,0.339,0.0,4.294,0.31,53.88,58.61,0.0,0.0,0.0,0.0,0.0,0.0,0.31,402.0,53.88
6039,2403,4,Inland,403.14,-1.086,0.0,3.277,-0.234,78.78,62.23,0.0,0.0,0.0,0.0,0.0,0.0,-0.234,403.14,78.78
3817,2218,2,Coastal,364.72,-0.651,0.3,3.069,-2.589,121.57,86.76,0.0,0.0,0.0,0.0,0.0,0.0,-2.589,364.72,121.57
8446,2603,11,Coastal,447.25,-0.928,0.0,3.454,2.008,167.94,87.06,0.0,0.0,0.0,0.0,0.0,0.0,2.008,447.25,167.94
5269,2339,2,Polar,389.28,-0.608,0.0,3.547,-1.824,47.49,62.52,0.0,0.0,0.0,0.0,0.0,0.0,-1.824,389.28,47.49
6897,2474,10,Coastal,418.72,-0.147,0.0,4.086,2.3,148.78,85.2,0.0,0.0,0.0,0.0,0.0,0.0,2.3,418.72,148.78
5309,2342,6,Inland,391.05,0.237,0.0,3.947,1.549,83.0,53.08,0.0,0.0,0.0,0.0,0.0,0.0,1.549,391.05,83.0
31,1902,8,Coastal,295.19,-0.383,0.0,2.615,0.225,156.7,83.73,0.0,0.0,0.0,0.0,0.0,0.0,0.225,295.19,156.7
5674,2372,11,Temperate,395.23,-0.345,0.0,3.35,0.804,141.59,71.21,0.0,0.0,0.0,0.0,0.0,0.0,0.804,395.23,141.59
4386,2265,7,Tropics,374.56,0.847,0.0,4.154,1.498,129.8,79.27,0.0,0.0,0.0,0.0,0.0,0.0,1.498,374.56,129.8
29,1902,6,Coastal,294.79,0.376,0.0,3.203,0.193,101.6,83.47,0.0,0.0,0.0,0.0,0.0,0.0,0.193,294.79,101.6
4202,2250,3,Coastal,372.78,0.277,0.0,4.075,0.517,108.03,83.17,0.0,0.0,0.0,0.0,0.0,0.0,0.517,372.78,108.03
7507,2525,8,Inland,429.72,0.633,0.0,4.458,3.929,80.36,55.83,0.0,0.0,0.0,0.0,0.0,0.0,3.929,429.72,80.36
735,1961,4,Temperate,308.42,0.899,0.0,3.67,-1.349,97.94,73.53,0.0,0.0,0.0,0.0,0.0,0.0,-1.349,308.42,97.94
2067,2072,4,Coastal,332.01,-0.077,0.0,3.164,-0.231,112.52,89.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.231,332.01,112.52
106,1908,11,Polar,296.34,-1.033,0.0,1.777,0.175,70.57,63.44,0.0,0.0,0.0,0.0,0.0,0.0,0.175,296.34,70.57
9644,2703,9,Inland,467.89,-0.763,0.0,4.099,2.851,90.4,61.71,0.0,0.0,0.0,0.0,0.0,0.0,2.851,467.89,90.4
8894,2641,3,Inland,454.66,0.881,0.0,5.342,0.434,94.99,58.53,0.0,0.0,0.0,0.0,0.0,0.0,0.434,454.66,94.99
8020,2568,5,Polar,440.23,-0.544,0.0,4.237,-1.587,34.79,57.44,0.0,0.0,0.0,0.0,0.0,0.0,-1.587,440.23,34.79
2232,2086,1,Inland,334.72,1.311,0.0,4.586,0.172,97.38,60.93,0.0,0.0,0.0,0.0,0.0,0.0,0.172,334.72,97.38
993,1982,10,Temperate,314.85,-0.359,0.0,2.931,1.074,125.59,71.89,0.0,0.0,0.0,0.0,0.0,0.0,1.074,314.85,125.59
9412,2684,5,Inland,465.35,-0.862,0.0,4.018,1.208,77.69,57.51,0.0,0.0,0.0,0.0,0.0,0.0,1.208,465.35,77.69
7058,2488,3,Inland,422.76,-0.788,0.0,3.85,-1.471,79.93,59.18,0.0,0.0,0.0,0.0,0.0,0.0,-1.471,422.76,79.93
6789,2465,10,Temperate,417.09,1.296,0.0,5.091,2.188,143.71,67.15,0.0,0.0,0.0,0.0,0.0,0.0,2.188,417.09,143.71
360,1930,1,Coastal,301.56,-0.284,0.0,2.512,0.627,138.88,89.57,0.0,0.0,0.0,0.0,0.0,0.0,0.627,301.56,138.88
