year,month,co2_ppm,enso_index,volcanic_activity,ocean_heat_index,temperature_anomaly,rainfall_mm,humidity_pct,month_sin,month_cos,region_Inland,region_Polar,region_Temperate,region_Tropics,temp_lag1,co2_lag1,rainfall_lag1,temp_roll3,rain_roll3
1902,4,295.0,0.211,0.0,2.961,-1.16,96.24,73.95,0.8660254037844387,-0.4999999999999998,0.0,0.0,1.0,0.0,-2.545375,294.75,34.41,-2.083583333333333,58.29
1902,5,294.52,0.409,0.3,3.237,-0.863,89.28,85.8,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,0.0,-1.16,295.0,96.24,-1.5227916666666665,73.31
1902,6,294.79,0.376,0.0,3.203,0.193,101.6,83.47,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,-0.863,294.52,89.28,-0.6099999999999998,95.70666666666666
1902,7,296.4,0.002,0.0,2.823,-1.159,39.79,63.24,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.0,0.0,0.193,294.79,101.6,-0.6096666666666665,76.89
1902,8,295.19,-0.383,0.0,2.615,0.225,156.7,83.73,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,-1.159,296.4,39.79,-0.24699999999999986,99.36333333333333
1902,9,296.19,-0.377,0.0,2.504,1.019,141.04,89.35,-1.0,-1.8369701987210297e-16,0.0,0.0,0.0,0.0,0.225,295.19,156.7,0.02833333333333347,112.50999999999999
1902,10,295.0,-0.14,0.0,2.571,0.765,229.85,87.64,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0,1.019,296.19,141.04,0.6696666666666667,175.86333333333332
1902,11,294.8,-0.273,0.0,3.249,0.965,61.11,58.33,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.0,0.0,0.765,295.0,229.85,0.9163333333333336,144.0
1902,12,295.67,-0.175,0.0,2.766,0.708,96.8,57.64,-2.4492935982947064e-16,1.0,1.0,0.0,0.0,0.0,0.965,294.8,61.11,0.8126666666666669,129.25333333333333
1903,1,295.2,-0.303,0.0,2.283,-1.622,69.62,60.13,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,0.0,0.708,295.67,96.8,0.017000000000000053,75.84333333333333
1903,2,296.54,-0.907,0.0,2.236,-0.396,82.17,56.12,0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0,-1.622,295.2,69.62,-0.43666666666666654,82.86333333333334
1903,3,297.44,-0.382,0.0,2.276,0.228,150.78,83.09,1.0,6.123233995736766e-17,0.0,0.0,0.0,1.0,-0.396,296.54,82.17,-0.5966666666666666,100.85666666666667
1903,4,295.22,-1.066,0.0,1.959,-1.545,83.15,77.23,0.8660254037844387,-0.4999999999999998,0.0,0.0,1.0,0.0,0.228,297.44,150.78,-0.5709999999999998,105.36666666666667
1903,5,296.72,-0.717,0.0,2.359,-0.673,119.27,84.59,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,0.0,-1.545,295.22,83.15,-0.6633333333333331,117.73333333333333
1903,6,294.68,-0.308,0.0,2.546,-0.039,143.49,85.85,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,1.0,-0.673,296.72,119.27,-0.7523333333333332,115.30333333333334
1903,7,298.13,-0.873,0.0,2.206,0.113,121.88,88.04,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,0.0,-0.039,294.68,143.49,-0.19966666666666652,128.21333333333334
1903,8,294.34,-1.423,0.0,1.602,0.039,107.4,69.95,-0.8660254037844385,-0.5000000000000004,0.0,0.0,1.0,0.0,0.113,298.13,121.88,0.03766666666666682,124.25666666666666
1903,9,296.64,-1.076,0.0,2.227,-0.191,120.68,74.34,-1.0,-1.8369701987210297e-16,0.0,0.0,1.0,0.0,0.039,294.34,107.4,-0.012999999999999845,116.65333333333335
1903,10,294.4,-0.456,0.0,2.408,0.885,232.54999999999995,86.99,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0,-0.191,296.64,120.68,0.24433333333333349,153.54333333333332
1903,11,295.38,-1.046,0.0,2.118,0.049,131.93,71.41,-0.5000000000000004,0.8660254037844384,0.0,0.0,1.0,0.0,0.885,294.4,232.54999999999995,0.2476666666666668,161.72
1903,12,297.42,-0.646,0.0,2.5,0.052,90.5,61.76,-2.4492935982947064e-16,1.0,1.0,0.0,0.0,0.0,0.049,295.38,131.93,0.32866666666666683,151.65999999999997
1904,1,294.97,-1.19,0.0,1.903,0.405,106.58,68.7,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0,0.0,0.052,297.42,90.5,0.16866666666666683,109.67
1904,2,298.64,-1.002,0.0,2.359,-0.311,132.38,86.16,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.405,294.97,106.58,0.04866666666666682,109.82
1904,3,295.7,-0.92,0.0,2.157,-0.804,126.52,84.9,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,-0.311,298.64,132.38,-0.23666666666666655,121.82666666666665
1904,4,297.38,-0.321,0.3,2.709,-1.103,110.48,86.05,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,-0.804,295.7,126.52,-0.7393333333333333,123.12666666666667
1904,5,296.28,-0.82,0.0,2.592,-0.794,102.02,88.62,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,0.0,-1.103,297.38,110.48,-0.9003333333333332,113.00666666666666
1904,6,296.65,-1.14,0.0,2.204,-1.388,73.19,55.61,1.2246467991473532e-16,-1.0,1.0,0.0,0.0,0.0,-0.794,296.28,102.02,-1.0949999999999998,95.23
1904,7,293.68,0.008,0.0,2.831,-1.536,70.01,68.48,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.0,0.0,-1.388,296.65,73.19,-1.2393333333333334,81.74
1904,8,295.09,-0.443,0.0,2.775,0.077,199.76,83.41,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,1.0,-1.536,293.68,70.01,-0.9489999999999997,114.32
1904,9,297.27,-0.243,0.0,2.984,0.302,164.43,86.27,-1.0,-1.8369701987210297e-16,0.0,0.0,0.0,0.0,0.077,295.09,199.76,-0.38566666666666655,144.73333333333332
1904,10,295.88,-0.711,0.0,2.411,1.18,113.69,64.24,-0.8660254037844386,0.5000000000000001,0.0,0.0,1.0,0.0,0.302,297.27,164.43,0.5196666666666668,159.29333333333332
1904,11,295.93,-0.143,0.0,2.767,0.455,156.31,81.04,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,1.18,295.88,113.69,0.6456666666666668,144.81
1904,12,294.01,-0.1,0.0,2.87,0.257,123.08,69.57,-2.4492935982947064e-16,1.0,0.0,0.0,1.0,0.0,0.455,295.93,156.31,0.6306666666666668,131.02666666666667
1905,1,295.45,-0.242,0.0,2.552,-0.262,114.72,67.2,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0,0.0,0.257,294.01,123.08,0.15000000000000016,131.37
1905,2,297.39,0.272,0.0,2.794,-0.435,131.2,88.14,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,-0.262,295.45,114.72,-0.14666666666666653,123.0
1905,3,294.58,-0.219,0.0,2.816,-0.512,81.39,63.01,1.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,-0.435,297.39,131.2,-0.40299999999999986,109.10333333333334
1905,4,296.36,0.066,0.0,3.187,-2.332,86.74,73.39,0.8660254037844387,-0.4999999999999998,0.0,0.0,1.0,0.0,-0.512,294.58,81.39,-1.0929999999999997,99.77666666666666
1905,5,296.55,0.71,0.0,3.337,-0.759,87.6,72.53,0.49999999999999994,-0.8660254037844387,0.0,0.0,1.0,0.0,-2.332,296.36,86.74,-1.2009999999999998,85.24333333333333
1905,6,295.86,0.319,0.0,3.084,-0.017,107.26,84.79,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,-0.759,296.55,87.6,-1.0359999999999998,93.86666666666666
1905,7,296.05,0.464,0.0,3.642,-1.18,114.38,75.96,-0.4999999999999997,-0.8660254037844388,0.0,0.0,1.0,0.0,-0.017,295.86,107.26,-0.6519999999999998,103.08
1905,8,295.75,0.692,0.0,3.447,-0.313,113.88,69.74,-0.8660254037844385,-0.5000000000000004,0.0,0.0,1.0,0.0,-1.18,296.05,114.38,-0.5033333333333332,111.83999999999999
1905,9,295.32,0.65,0.0,3.346,0.71,142.49,83.48,-1.0,-1.8369701987210297e-16,0.0,0.0,0.0,0.0,-0.313,295.75,113.88,-0.26099999999999984,123.58333333333333
1905,10,296.64,0.982,0.0,3.708,0.538,143.76,80.62,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.71,295.32,142.49,0.3116666666666668,133.37666666666667
1905,11,295.65,0.91,0.0,3.76,0.802,221.93,84.57,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,1.0,0.538,296.64,143.76,0.6833333333333336,169.39333333333335
1905,12,297.86,0.537,0.0,3.43,0.224,93.95,61.55,-2.4492935982947064e-16,1.0,1.0,0.0,0.0,0.0,0.802,295.65,221.93,0.5213333333333335,153.21333333333334
1906,1,296.74,0.767,0.0,3.458,0.198,102.91,54.89,0.49999999999999994,0.8660254037844387,1.0,0.0,0.0,0.0,0.224,297.86,93.95,0.40800000000000014,139.59666666666666
1906,2,295.28,0.767,0.0,3.352,-0.066,129.49,73.3,0.8660254037844386,0.5000000000000001,0.0,0.0,1.0,0.0,0.198,296.74,102.91,0.11866666666666681,108.78333333333335
1906,3,297.54,0.879,0.0,3.472,-0.082,80.01,56.03,1.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,-0.066,295.28,129.49,0.016666666666666816,104.13666666666667
1906,4,297.32,1.028,0.0,4.059,-0.332,121.6,69.07,0.8660254037844387,-0.4999999999999998,0.0,0.0,1.0,0.0,-0.082,297.54,80.01,-0.15999999999999986,110.36666666666667
1906,5,294.24,1.071,0.0,3.625,0.173,133.26,78.2,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,1.0,-0.332,297.32,121.6,-0.0803333333333332,111.62333333333333
1906,6,294.98,0.386,0.0,3.513,-0.009,90.77,84.3,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.173,294.24,133.26,-0.05599999999999986,115.21
1906,7,295.76,1.207,0.0,3.888,0.382,106.75,90.66,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,0.0,-0.009,294.98,90.77,0.18200000000000016,110.25999999999999
1906,8,294.74,0.891,0.0,3.424,0.603,122.22,91.23,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,0.382,295.76,106.75,0.3253333333333335,106.58
1906,9,298.82,0.586,0.0,3.484,1.812,90.06,53.48,-1.0,-1.8369701987210297e-16,1.0,0.0,0.0,0.0,0.603,294.74,122.22,0.9323333333333336,106.34333333333335
1906,10,297.38,1.047,0.0,3.945,0.636,107.495,83.07,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0,1.812,298.82,90.06,1.0170000000000001,106.59166666666668
1906,11,295.88,0.217,0.0,3.185,1.826,115.35,61.66,-0.5000000000000004,0.8660254037844384,1.0,0.0,0.0,0.0,0.636,297.38,107.495,1.424666666666667,104.30166666666666
1906,12,296.05,0.275,0.0,3.261,1.109,80.68,53.65,-2.4492935982947064e-16,1.0,1.0,0.0,0.0,0.0,1.826,295.88,115.35,1.1903333333333335,101.175
1907,1,295.57,1.12,0.0,3.864,0.807,200.32,86.39,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,1.0,1.109,296.05,80.68,1.2473333333333334,132.11666666666665
1907,2,294.23,0.537,0.0,3.469,0.875,178.74,83.14,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.0,0.807,295.57,200.32,0.9303333333333333,153.24666666666667
1907,3,294.61,0.222,0.0,3.286,3.696,141.83,76.62,1.0,6.123233995736766e-17,0.0,0.0,0.0,1.0,0.875,294.23,178.74,1.7926666666666666,173.63
1907,4,298.91,0.336,0.0,2.968,0.196,151.45,82.43,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,1.0,3.696,294.61,141.83,1.5889999999999997,157.34
1907,5,298.48,0.163,0.0,3.035,0.205,102.93,83.58,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,0.0,0.196,298.91,151.45,1.3656666666666668,132.07000000000002
1907,6,296.36,0.113,0.0,3.087,-2.447,22.3,63.49,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.205,298.48,102.93,-0.682,92.22666666666667
1907,7,297.57,0.122,0.0,3.012,-1.795,27.82,70.52,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.0,0.0,-2.447,296.36,22.3,-1.345666666666667,51.01666666666667
1907,8,297.04,-0.154,0.0,2.983,0.51,154.17,81.86,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,1.0,-1.795,297.57,27.82,-1.244,68.09666666666666
1907,9,297.44,-0.119,0.0,2.77,0.639,107.495,100.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0,0.0,0.51,297.04,154.17,-0.2153333333333333,96.495
1907,10,295.09,-0.349,0.0,2.44,-1.371,50.04,69.6,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0,0.639,297.44,107.495,-0.074,103.90166666666666
1907,11,294.36,-0.612,0.0,2.719,0.322,226.5,84.57,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,1.0,-1.371,295.09,50.04,-0.13666666666666666,128.01166666666666
1907,12,297.97,-0.777,0.0,2.215,0.131,55.61,62.08,-2.4492935982947064e-16,1.0,0.0,1.0,0.0,0.0,0.322,294.36,226.5,-0.306,110.71666666666665
1908,1,294.36,-0.258,0.0,2.92,0.093,101.28,63.04,0.49999999999999994,0.8660254037844387,1.0,0.0,0.0,0.0,0.131,297.97,55.61,0.18200000000000002,127.79666666666667
1908,2,296.25,-0.507,0.0,2.392,-0.607,100.39,69.81,0.8660254037844386,0.5000000000000001,0.0,0.0,1.0,0.0,0.093,294.36,101.28,-0.12766666666666665,85.75999999999999
1908,3,295.99,-0.484,0.0,2.404,-0.369,93.91,68.61,1.0,6.123233995736766e-17,0.0,0.0,1.0,0.0,-0.607,296.25,100.39,-0.29433333333333334,98.52666666666666
1908,4,295.98,-0.808,0.0,2.139,-0.361,107.495,100.0,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,1.0,-0.369,295.99,93.91,-0.44566666666666666,100.59833333333334
1908,5,297.14,-0.81,0.0,2.452,-0.69,96.4,83.75,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,0.0,-0.361,295.98,107.495,-0.47333333333333333,99.26833333333333
1908,6,295.82,-0.958,0.0,2.061,-0.053,155.18,84.82,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,1.0,-0.69,297.14,96.4,-0.36799999999999994,119.69166666666668
1908,7,297.79,-0.662,0.0,2.265,-0.539,116.6,89.76,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,0.0,-0.053,295.82,155.18,-0.42733333333333334,122.72666666666667
1908,8,296.39,-1.064,0.0,2.142,-0.012,110.91,71.82,-0.8660254037844385,-0.5000000000000004,0.0,0.0,1.0,0.0,-0.539,297.79,116.6,-0.20133333333333336,127.56333333333332
1908,9,299.58,-1.241,0.0,2.1,1.285,232.54999999999995,88.21,-1.0,-1.8369701987210297e-16,0.0,0.0,0.0,1.0,-0.012,296.39,110.91,0.24466666666666662,153.35333333333332
1908,10,295.08,-0.87,0.0,2.181,2.473,114.86,56.21,-0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0,1.285,299.58,232.54999999999995,1.2486666666666666,152.7733333333333
1908,11,296.34,-1.033,0.0,1.777,0.175,70.57,63.44,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.0,0.0,2.473,295.08,114.86,1.3109999999999997,139.32666666666665
1908,12,297.54,-0.916,0.0,2.598,0.947,170.1,87.68,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,0.175,296.34,70.57,1.1983333333333333,118.50999999999999
1909,1,296.51,-0.773,0.0,2.291,-2.355,59.74,64.48,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,0.0,0.947,297.54,170.1,-0.41100000000000003,100.13666666666666
1909,2,295.11,-1.058,0.6,2.333,-2.281,51.52,63.92,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0,-2.355,296.51,59.74,-1.2296666666666667,93.78666666666665
1909,3,298.63,-0.921,0.0,2.179,0.824,187.03,81.24,1.0,6.123233995736766e-17,0.0,0.0,0.0,1.0,-2.281,295.11,51.52,-1.2706666666666668,99.43
1909,4,297.32,-0.887,0.0,2.085,-2.545375,59.25,66.08,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0,0.0,0.824,298.63,187.03,-1.3341250000000002,99.26666666666667
1909,5,295.17,-0.421,0.0,2.271,-0.953,74.32,60.71,0.49999999999999994,-0.8660254037844387,1.0,0.0,0.0,0.0,-2.545375,297.32,59.25,-0.8914583333333334,106.86666666666667
1909,6,297.88,-0.666,0.0,2.622,-2.545375,31.52,67.16,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.953,295.17,74.32,-2.014583333333333,55.03
1909,7,298.91,-0.549,0.0,2.259,-0.062,169.86,86.3,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,1.0,-2.545375,297.88,31.52,-1.1867916666666665,91.90000000000002
1909,8,297.06,-0.789,0.0,2.15,0.605,86.04,57.5,-0.8660254037844385,-0.5000000000000004,1.0,0.0,0.0,0.0,-0.062,298.91,169.86,-0.6674583333333333,95.80666666666667
1909,9,297.29,-0.224,0.0,2.696,4.463625,122.22,65.91,-1.0,-1.8369701987210297e-16,0.0,0.0,1.0,0.0,0.605,297.06,86.04,1.668875,126.04
1909,10,299.59,-0.202,0.0,2.944,-1.63,42.36,68.17,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0,4.463625,297.29,122.22,1.1462083333333337,83.54
1909,11,296.01,-0.417,0.0,2.738,0.724,232.54999999999995,90.07,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,1.0,-1.63,299.59,42.36,1.1858750000000002,132.37666666666664
1909,12,298.95,0.376,0.0,3.394,-0.262,118.32,70.22,-2.4492935982947064e-16,1.0,0.0,0.0,1.0,0.0,0.724,296.01,232.54999999999995,-0.3893333333333333,131.07666666666665
1910,1,297.82,0.084,0.0,2.895,-1.309,120.22,76.99,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0,0.0,-0.262,298.95,118.32,-0.2823333333333333,157.02999999999997
1910,2,296.08,-0.051,0.0,2.927,-0.404,140.18,87.18,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,-1.309,297.82,120.22,-0.6583333333333333,126.24000000000001
1910,3,296.06,0.207,0.0,3.164,0.545,67.35,55.11,1.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,-0.404,296.08,140.18,-0.3893333333333333,109.25
1910,4,296.55,0.217,0.0,3.069,-2.351,33.46,61.96,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0,0.0,0.545,296.06,67.35,-0.7366666666666667,80.33
1910,5,295.05,0.793,0.0,3.602,1.16,129.91,75.95,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,1.0,-2.351,296.55,33.46,-0.21533333333333338,76.90666666666667
1910,6,297.26,0.733,0.0,3.29,0.596,87.46,85.66,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,1.16,295.05,129.91,-0.19833333333333336,83.61
1910,7,296.36,0.701,0.0,3.23,-0.087,80.46,54.35,-0.4999999999999997,-0.8660254037844388,1.0,0.0,0.0,0.0,0.596,297.26,87.46,0.5563333333333332,99.27666666666666
1910,8,298.18,1.098,0.0,3.889,1.29,143.29,86.61,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,-0.087,296.36,80.46,0.5996666666666667,103.73666666666666
1910,9,295.87,0.484,0.0,3.187,2.817,99.97,56.47,-1.0,-1.8369701987210297e-16,1.0,0.0,0.0,0.0,1.29,298.18,143.29,1.3399999999999999,107.90666666666668
1910,10,298.2,1.003,0.0,3.801,2.451,110.63,59.96,-0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0,2.817,295.87,99.97,2.186,117.96333333333332
1910,11,298.16,1.003,0.0,3.885,0.147,71.15,65.86,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.0,0.0,2.451,298.2,110.63,1.8050000000000004,93.91666666666667
1910,12,296.56,0.856,0.0,3.733,-0.079,120.93,60.36,-2.4492935982947064e-16,1.0,1.0,0.0,0.0,0.0,0.147,298.16,71.15,0.8396666666666667,100.90333333333335
1911,1,297.77,0.895,0.0,3.598,-0.058,129.67,83.3,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,-0.079,296.56,120.93,0.003333333333333329,107.25
1911,2,297.42,1.209,0.0,4.109,-0.251,100.26,61.66,0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0,-0.058,297.77,129.67,-0.12933333333333333,116.95333333333333
1911,3,299.06,1.207,0.0,4.205,-1.449,55.42,65.18,1.0,6.123233995736766e-17,0.0,1.0,0.0,0.0,-0.251,297.42,100.26,-0.586,95.11666666666667
1911,4,296.09,0.644,0.0,3.409,-2.545375,57.5,68.32,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0,0.0,-1.449,299.06,55.42,-1.415125,71.06
1911,5,296.83,1.449,0.0,4.183,2.91,84.0,83.04,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,0.0,-2.545375,296.09,57.5,-0.3614583333333334,65.64
1911,6,296.86,1.264,0.6,3.76,-1.439,94.01,70.83,1.2246467991473532e-16,-1.0,0.0,0.0,1.0,0.0,2.91,296.83,84.0,-0.358125,78.50333333333333
1911,7,297.02,0.881,0.0,3.907,0.064,104.66,73.49,-0.4999999999999997,-0.8660254037844388,0.0,0.0,1.0,0.0,-1.439,296.86,94.01,0.5116666666666666,94.22333333333331
1911,8,297.92,0.716,0.0,3.85,1.06,100.07,60.49,-0.8660254037844385,-0.5000000000000004,1.0,0.0,0.0,0.0,0.064,297.02,104.66,-0.10500000000000005,99.58
1911,9,296.94,1.144,0.0,3.897,0.869,212.95,84.89,-1.0,-1.8369701987210297e-16,0.0,0.0,0.0,1.0,1.06,297.92,100.07,0.6643333333333333,139.22666666666666
