time_index,year,month,region,co2_ppm,enso_index,volcanic_activity,ocean_heat_index,temperature_anomaly,rainfall_mm,humidity_pct
764,1963,9,Temperate,308.16,-0.886,0.0,2.251,-0.485,103.11,74.75
5019,2318,4,Tropics,387.19,-0.087,0.0,3.42,1.34,133.63,83.25
4903,2308,8,Temperate,382.62,-0.518,0.0,3.353,2.08,-94.05,121.788
8093,2574,6,Coastal,440.39,-1.195,0.0,3.33,1.375,110.53,84.68
6843,2470,4,Polar,418.69,0.528,0.0,4.286,-0.973,27.01,61.3
2165,2080,6,Polar,333.44,0.378,0.0,3.546,-1.585,34.07,59.07
1862,2055,3,Temperate,329.48,-0.151,0.0,3.407,0.055,111.69,75.12
7850,2554,3,Coastal,437.63,-1.081,0.0,3.626,0.629,117.14,88.88
9123,2660,4,Temperate,460.93,0.207,0.0,4.608,2.113,108.36,69.86
2340,2095,1,Polar,336.63,-0.103,0.0,3.111,-0.214,47.82,65.86
5527,2360,8,Polar,391.12,0.489,0.0,4.399,-1.068,52.52,67.34
6743,2461,12,Coastal,415.86,1.031,0.0,4.736,2.556,161.93,85.35
4003,2233,8,Inland,368.05,-0.889,0.0,3.501,1.178,78.92,60.37
1123,1993,8,Polar,316.92,-1.388,0.0,2.246,-0.941,35.6,65.47
8709,2625,10,Temperate,451.92,0.548,0.0,4.909,3.13,128.84,75.07
4049,2237,6,Coastal,365.97,-0.062,0.0,3.117,1.172,104.77,82.49
7640,2536,9,Polar,432.25,1.514,0.0,5.216,1.006,45.11,58.68
765,1963,10,Coastal,309.83,-1.032,0.0,2.019,0.424,168.82,88.34
2344,2095,5,Temperate,335.46,0.167,0.0,3.832,0.296,77.81,69.84
4071,2239,4,Inland,369.33,-0.915,0.0,3.37,-0.809,98.99,63.96
7216,2501,5,Polar,424.41,1.234,0.0,5.341,-1.43,47.38,61.19
4216,2251,5,Tropics,372.03,1.029,0.0,4.186,0.749,118.62,74.25
7952,2562,9,Tropics,438.77,-0.045,0.0,4.497,2.646,190.0,84.8
5970,2397,7,Tropics,400.2,-0.053,0.0,4.09,0.997,141.52,83.38
3350,2179,3,Polar,357.3,-0.568,0.0,3.268,-1.439,37.58,64.36
4695,2291,4,Temperate,376.4,0.79,0.0,4.259,-0.39,-102.42,127.44
3399,2183,4,Coastal,355.89,-0.946,0.0,2.874,-0.275,106.64,82.96
4081,2240,2,Inland,367.67,0.332,0.0,3.95,-0.161,102.61,60.11
9149,2662,6,Tropics,459.2,-0.412,0.0,3.992,2.034,143.23,76.73
1224,2002,1,Polar,318.53,0.158,0.0,3.2,-0.597,57.34,60.56
6292,2424,5,Polar,408.81,-0.559,0.0,3.516,-2.491,61.15,61.67
3122,2160,3,Coastal,351.17,0.402,0.0,3.818,0.351,110.51,84.71
510,1942,7,Polar,306.82,0.183,0.0,3.279,-1.942,34.64,65.49
5794,2382,11,Inland,400.43,-0.299,0.0,3.904,2.756,102.19,60.79
8181,2581,10,Inland,443.44,1.134,0.0,5.543,3.872,115.9,53.27
9417,2684,10,Inland,463.76,-0.72,0.0,3.834,4.811,113.2,53.42
96,1908,1,Inland,294.36,-0.258,0.0,2.92,0.093,101.28,63.04
6681,2456,10,Inland,416.8,0.962,0.0,4.798,5.585,107.93,57.86
1512,2026,1,Temperate,323.5,0.917,0.0,4.142,1.159,131.57,68.64
8791,2632,8,Tropics,453.53,-0.114,0.0,4.416,2.345,171.89,75.15
119,1909,12,Temperate,298.95,0.376,0.0,3.394,-0.262,118.32,70.22
7791,2549,4,Inland,435.12,-0.815,0.0,3.772,-1.22,64.2,55.69
6517,2443,2,Tropics,411.66,-0.505,0.0,3.925,2.131,187.96,90.35
33,1902,10,Tropics,295.0,-0.14,0.0,2.571,0.765,229.85,87.64
7887,2557,4,Tropics,438.06,0.609,0.0,5.032,-0.6139999999999999,117.39,75.7
6830,2469,3,Tropics,419.22,-1.086,0.0,3.491,1.721,157.22,80.47
5421,2351,10,Temperate,392.89,0.372,0.0,4.36,2.134,125.5,69.55
1068,1989,1,Tropics,313.23,-0.836,0.0,2.63,0.377,216.01,88.64
1347,2012,4,Inland,318.62,0.522,0.0,3.551,-1.29,73.47,58.95
4747,2295,8,Inland,379.1,0.176,0.0,3.447,1.849,89.38,63.93
6005,2400,6,Inland,402.0,0.339,0.0,4.294,0.31,53.88,58.61
6039,2403,4,Inland,403.14,-1.086,0.0,3.277,-0.234,78.78,62.23
3817,2218,2,Coastal,364.72,-0.651,0.3,3.069,-2.589,121.57,86.76
8446,2603,11,Coastal,447.25,-0.928,0.0,3.454,2.008,167.94,87.06
5269,2339,2,Polar,389.28,-0.608,0.0,3.547,-1.824,47.49,62.52
6897,2474,10,Coastal,418.72,-0.147,0.0,4.086,2.3,148.78,85.2
5309,2342,6,Inland,391.05,0.237,0.0,3.947,1.549,83.0,53.08
31,1902,8,Coastal,295.19,-0.383,0.0,2.615,0.225,156.7,83.73
5674,2372,11,Temperate,395.23,-0.345,0.0,3.35,0.804,141.59,71.21
4386,2265,7,Tropics,374.56,0.847,0.0,4.154,1.498,129.8,79.27
29,1902,6,Coastal,294.79,0.376,0.0,3.203,0.193,101.6,83.47
4202,2250,3,Coastal,372.78,0.277,0.0,4.075,0.517,108.03,83.17
7507,2525,8,Inland,429.72,0.633,0.0,4.458,3.929,80.36,55.83
735,1961,4,Temperate,308.42,0.899,0.0,3.67,-1.349,97.94,73.53
2067,2072,4,Coastal,332.01,-0.077,0.0,3.164,-0.231,112.52,89.3
106,1908,11,Polar,296.34,-1.033,0.0,1.777,0.175,70.57,63.44
9644,2703,9,Inland,467.89,-0.763,0.0,4.099,2.851,90.4,61.71
8894,2641,3,Inland,454.66,0.881,0.0,5.342,0.434,94.99,58.53
8020,2568,5,Polar,440.23,-0.544,0.0,4.237,-1.587,34.79,57.44
2232,2086,1,Inland,334.72,1.311,0.0,4.586,0.172,97.38,60.93
993,1982,10,Temperate,314.85,-0.359,0.0,2.931,1.074,125.59,71.89
9412,2684,5,Inland,465.35,-0.862,0.0,4.018,1.208,77.69,57.51
7058,2488,3,Inland,422.76,-0.788,0.0,3.85,-1.471,79.93,59.18
6789,2465,10,Temperate,417.09,1.296,0.0,5.091,2.188,143.71,67.15
360,1930,1,Coastal,301.56,-0.284,0.0,2.512,0.627,138.88,89.57
304,1925,5,Polar,299.02,0.459,0.0,3.625,-0.06300000000000017,39.8,66.82
2627,2118,12,Polar,343.18,-0.705,0.0,2.797,1.413,57.15,67.09
8965,2647,2,Polar,455.97,0.815,0.0,5.099,-0.139,58.78,61.32
4513,2276,2,Polar,376.01,1.034,0.0,4.632,-2.312,57.27,59.96
5910,2392,7,Inland,400.66,0.071,0.0,4.101,2.169,72.27,57.05
8313,2592,10,Temperate,446.28,-0.344,0.0,4.394,2.798,137.19,71.21
3100,2158,5,Polar,347.61,-0.601,0.0,3.082,-2.503,55.94,67.89
5703,2375,4,Inland,397.0,0.08,0.0,3.929,0.305,68.65,53.02
3898,2224,11,Coastal,366.82,0.042,0.0,3.783,1.3,154.89,91.31
5440,2353,5,Polar,396.83,-0.892,0.0,3.371,-1.728,28.6,64.06
7930,2560,11,Inland,437.16,1.015,0.0,5.057,3.854,132.45,59.02
621,1951,10,Temperate,305.39,0.716,0.0,3.589,1.113,134.89,70.42
7235,2502,12,Tropics,424.89,-1.021,0.0,3.441,1.912,231.31,80.35
2498,2108,3,Polar,342.13,-0.757,0.0,3.345,-1.243,34.65,70.9
713,1959,6,Polar,307.84,-0.717,0.0,2.388,-2.266,26.94,65.03
8403,2600,4,Temperate,446.71,0.475,0.0,5.037,1.822,112.85,75.02
2855,2137,12,Polar,345.26,-0.8,0.0,2.65,-0.021,65.71,62.39
4269,2255,10,Tropics,370.03,0.818,0.0,4.503,1.541,214.99,
2908,2142,5,Tropics,347.04,-0.239,0.3,3.243,0.74,133.39,83.88
8080,2573,5,Temperate,438.55,-0.679,0.0,4.088,0.213,79.52,65.44
4516,2276,5,Polar,375.27,0.862,0.0,4.666,-0.09,55.05,65.01
1261,2005,2,Tropics,319.82,-0.152,0.0,3.235,0.384,188.76,88.34
3160,2163,5,Tropics,352.72,-0.982,0.0,2.665,0.751,148.55,88.77
970,1980,11,Coastal,311.2,1.098,0.0,4.154,0.43,152.79,88.09
3912,2226,1,Inland,365.25,1.52,0.0,5.016,0.087,97.25,62.78
5198,2333,3,Polar,389.38,-0.289,0.0,3.77,-1.791,47.6,62.78
8846,2637,3,Tropics,452.6,0.489,0.0,5.031,2.206,144.72,78.87
259,1921,8,Temperate,300.32,1.213,0.0,4.065,0.88,132.69,74.82
3790,2215,11,Tropics,362.47,0.896,0.0,4.372,1.109,202.83,82.19
9202,2666,11,Inland,460.21,1.18,0.0,5.751,2.619,108.09,59.71
487,1940,8,Polar,302.69,0.991,0.0,3.562,-0.638,49.74,59.97
7907,2558,12,Tropics,438.12,-1.01,0.0,3.524,1.916,221.16,82.74
518,1943,3,Inland,303.75,-1.021,0.0,2.215,-2.075,74.26,60.17
8342,2595,3,Coastal,444.16,0.011,0.0,4.264,2.033,122.65,84.79
311,1925,12,Polar,300.08,0.843,0.0,3.934,0.365,55.26,62.34
3231,2169,4,Inland,353.42,-0.779,0.0,2.538,-1.271,66.12,62.15
7932,2561,1,Inland,435.93,0.836,0.0,5.113,1.826,112.5,62.37
7457,2521,6,Inland,428.82,0.936,0.0,4.828,0.785,77.44,58.93
9783,2715,4,Temperate,469.91,0.336,0.0,4.728,0.923,101.0,74.95
5183,2331,12,Inland,389.6,0.494,0.0,4.466,2.048,111.59,60.23
8076,2573,1,Coastal,440.49,-0.613,0.0,3.63,1.046,138.79,85.97
6501,2441,10,Tropics,412.91,1.309,0.0,5.273,2.624,222.16,83.29
6790,2465,11,Inland,418.04,1.218,0.0,5.393,3.27,134.16,60.57
7772,2547,9,Inland,433.76,-0.084,1.0,4.152,1.706,101.18,60.52
2737,2128,2,Polar,344.25,-0.756,0.0,2.817,-1.071,44.33,62.09
7841,2553,6,Polar,437.92,-1.236,0.0,3.418,0.873,37.62,61.78
6261,2421,10,Polar,407.5,0.869,0.0,4.73,1.054,66.25,59.31
8205,2583,10,Tropics,441.55,-0.647,0.0,3.864,2.024,223.44,86.0
1247,2003,12,Temperate,315.79,-1.037,0.0,2.098,0.911,111.89,74.74
9335,2677,12,Temperate,461.96,-0.695,0.0,3.932,2.668,121.48,67.97
4194,2249,7,Temperate,370.27,-0.731,0.0,2.91,0.396,97.92,68.35
8000,2566,9,Tropics,440.14,0.926,0.0,5.079,2.892,195.54,84.9
7377,2514,10,Coastal,429.37,-0.341,0.0,4.202,2.61,153.01,86.47
3434,2186,3,Coastal,356.95,0.622,0.0,3.981,0.514,111.57,79.95
5381,2348,6,Coastal,392.75,-1.405,0.0,2.886,0.568,108.83,85.46
958,1979,11,Polar,312.38,0.337,0.0,3.497,-0.617,62.32,61.27
416,1934,9,Temperate,303.16,-0.636,0.0,2.352,0.047,105.43,71.43
5741,2378,6,Temperate,400.22,-1.402,0.0,2.904,1.421,71.23,64.5
6727,2460,8,Temperate,417.72,0.806,0.0,5.149,2.01,112.28,69.03
4381,2265,2,Coastal,373.68,0.284,0.0,4.152,0.447,126.82,90.5
5196,2333,1,Inland,385.81,-1.033,0.0,3.217,0.753,93.38,56.29
1112,1992,9,Temperate,314.48,-0.407,0.0,2.938,0.619,120.53,72.33
2688,2124,1,Polar,345.03,-0.828,0.0,2.923,-1.427,,62.15
6472,2439,5,Polar,413.15,-0.765,0.0,4.125,-2.441,21.39,65.96
8819,2634,12,Inland,454.57,0.029,0.0,4.472,3.427,97.84,56.41
7807,2550,8,Coastal,436.45,0.905,0.0,5.05,2.037,105.78,82.33
3410,2184,3,Coastal,357.73,-0.27,0.0,3.437,-0.256,108.06,85.92
80,1906,9,Inland,298.82,0.586,0.0,3.484,1.812,90.06,53.48
4613,2284,6,Coastal,377.2,-0.849,0.0,3.282,0.762,114.28,87.01
1373,2014,6,Polar,318.67,-0.638,0.0,2.608,-1.738,29.8,60.03
1509,2025,10,Temperate,322.42,0.629,0.0,3.569,2.351,117.59,75.48
6442,2436,11,Tropics,412.22,0.611,0.0,4.401,2.134,224.95,89.23
3070,2155,11,Temperate,350.55,0.435,0.0,3.929,2.373,152.28,69.53
3015,2151,4,Polar,350.35,0.852,0.0,4.053,-1.327,43.21,66.91
4822,2301,11,Temperate,380.33,0.38,0.0,3.958,1.998,118.6,68.48
7821,2551,10,Temperate,437.59,0.589,0.0,4.816,3.557,141.03,70.88
92,1907,9,Polar,297.44,-0.119,0.0,2.77,0.639,-71.8,115.092
9420,2685,1,Inland,464.34,0.167,0.0,4.52,2.961,101.6,59.09
6599,2449,12,Coastal,416.24,-0.184,0.0,4.266,1.968,166.6,89.83
4442,2270,3,Tropics,375.17,0.615,0.0,4.268,1.347,137.95,84.12
7601,2533,6,Inland,431.32,-0.957,0.0,3.475,0.741,73.71,60.29
3834,2219,7,Inland,363.28,-0.366,0.0,3.778,0.017,89.4,61.06
9701,2708,6,Inland,468.2,-1.113,0.0,3.786,1.804,79.23,55.22
4321,2260,2,Inland,370.46,-0.1,0.0,3.524,-1.066,107.6,55.39
3393,2182,10,Inland,357.35,-0.724,0.0,3.314,2.521,116.12,55.76
4751,2295,12,Temperate,380.66,1.12,0.0,4.97,2.695,126.58,63.9
7228,2502,5,Temperate,425.62,0.394,0.0,4.506,-0.067,90.92,66.91
9190,2665,11,Tropics,460.35,0.943,0.0,5.558,2.909,216.41,84.27
2360,2096,9,Temperate,336.97,1.102,0.0,4.197,1.659,118.32,70.53
1147,1995,8,Coastal,316.59,0.619,0.0,3.491,1.072,124.7,88.95
5665,2372,2,Tropics,396.94,0.698,0.0,4.666,1.994,162.81,82.32
8074,2572,11,Inland,439.65,-0.422,0.0,4.097,0.682,98.63,52.96
4942,2311,11,Tropics,384.59,0.917,0.0,4.768,1.685,209.13,87.43
3662,2205,3,Coastal,363.16,0.667,0.0,4.542,0.122,106.98,88.09
1562,2030,3,Inland,323.71,0.597,0.0,3.791,0.429,72.48,56.31
4112,2242,9,Tropics,369.2,-0.514,0.0,3.075,1.358,198.38,85.08
9049,2654,2,Temperate,9999.0,-0.861,0.0,3.808,1.954,122.61,68.71
9275,2672,12,Polar,462.4,-0.099,0.0,4.43,0.803,65.64,65.88
8537,2611,6,Inland,448.81,1.024,0.0,5.16,1.84,74.94,59.22
794,1966,3,Coastal,308.32,1.431,0.0,4.888,-0.061,89.05,83.96
5853,2387,10,Coastal,399.23,-0.439,0.0,3.772,1.72,156.7,86.71
7618,2534,11,Temperate,432.8,-0.162,0.0,4.241,2.826,129.66,67.77
1593,2032,10,Coastal,323.19,0.221,0.0,3.386,0.794,-138.82,151.668
7417,2518,2,Inland,428.48,-0.815,0.0,3.664,1.138,92.7,56.97
5266,2338,11,Inland,389.49,-0.763,0.0,3.126,2.827,100.03,54.54
7146,2495,7,Tropics,423.81,0.729,0.0,4.812,1.817,150.16,78.58
88,1907,5,Coastal,298.48,0.163,0.0,3.035,0.205,102.93,83.58
8694,2624,7,Coastal,448.94,-0.405,0.0,4.303,1.479,119.28,90.61
9731,2710,12,Coastal,471.07,0.714,0.0,5.016,3.114,143.12,85.71
9445,2687,2,Temperate,464.62,0.563,0.0,5.379,2.882,112.58,70.74
6753,2462,10,Temperate,418.66,0.062,0.0,4.65,3.335,122.45,71.9
3501,2191,10,Polar,357.48,0.736,0.0,4.054,-0.257,75.69,60.65
2233,2086,2,Temperate,337.45,1.185,0.0,4.692,0.468,132.52,73.2
2802,2133,7,Coastal,345.08,-0.987,0.0,2.405,0.888,-135.53,148.37400000000002
4423,2268,8,Coastal,372.05,-0.899,0.0,3.04,1.04,126.24,87.34
5662,2371,11,Inland,396.55,0.766,0.0,4.555,2.553,107.21,53.89
7169,2497,6,Tropics,,0.094,0.0,3.82,1.634,133.72,72.74
8336,2594,9,Temperate,444.13,-0.379,0.0,4.254,2.459,131.2,72.4
2147,2078,12,Inland,332.58,-0.804,0.0,2.699,0.863,104.11,51.5
7968,2564,1,Polar,439.22,-0.745,0.0,3.906,0.144,33.9,62.35
6550,2445,11,Temperate,412.07,0.968,0.0,4.969,1.735,135.88,74.3
7642,2536,11,Coastal,431.91,0.48,0.0,4.297,2.686,152.13,82.86
6163,2413,8,Polar,404.84,-0.493,0.6,3.643,-0.405,49.3,62.9
1494,2024,7,Coastal,321.44,-0.702,0.0,2.449,0.142,110.96,89.72
7695,2541,4,Polar,433.51,1.104,0.0,5.394,0.084,41.1,59.94
7093,2491,2,Tropics,422.26,0.998,0.0,5.001,1.953,167.29,85.64
1408,2017,5,Polar,318.71,0.145,0.0,3.289,-2.915,52.1,68.83
6690,2457,7,Inland,417.98,0.291,0.0,4.515,0.961,61.42,53.65
3400,2183,5,Temperate,354.61,-1.225,0.0,2.652,-0.318,84.25,70.62
108,1909,1,Polar,296.51,-0.773,0.0,2.291,-2.355,59.74,64.48
5635,2369,8,Tropics,398.44,-0.247,0.0,3.969,1.512,205.08,84.77
8481,2606,10,Tropics,448.63,0.834,0.0,5.176,2.508,224.71,82.7
6603,2450,4,Tropics,414.68,0.41,0.0,4.588,1.901,145.9,79.41
1090,1990,11,Inland,316.1,0.585,0.0,3.583,-0.52,101.81,57.94
5559,2363,4,Temperate,394.08,-0.672,0.0,3.673,-0.034,90.11,65.03
9411,2684,4,Tropics,464.72,-0.801,0.0,3.916,1.941,129.66,80.41
8142,2578,7,Temperate,440.57,-0.624,0.0,4.256,2.571,96.99,67.33
8663,2621,12,Temperate,451.34,0.476,0.0,4.885,2.979,122.62,70.14
6595,2449,8,Temperate,416.19,-0.346,0.0,3.576,2.16,108.91,65.38
623,1951,12,Coastal,308.32,0.559,0.0,3.493,0.537,150.62,87.85
6870,2472,7,Polar,9999.0,0.101,0.0,4.095,-1.241,62.56,62.2
4813,2301,2,Inland,381.59,0.557,0.0,4.125,0.713,98.28,63.62
6552,2446,1,Tropics,411.75,0.668,0.0,4.804,2.138,181.69,84.0
7529,2527,6,Inland,431.07,0.184,0.0,4.689,-0.053,95.25,61.63
5795,2382,12,Polar,397.88,-0.588,0.0,3.458,0.134,71.02,63.08
7436,2519,9,Polar,428.82,-0.445,0.0,3.902,0.928,57.67,65.84
4217,2251,6,Coastal,370.29,1.356,0.0,4.703,0.278,66.02,80.87
5940,2395,1,Temperate,400.7,0.132,0.6,4.168,0.365,128.28,67.23
8500,2608,5,Coastal,445.95,-0.85,0.0,3.641,1.526,113.72,84.93
6428,2435,9,Temperate,411.06,0.395,0.0,4.462,2.343,128.5,70.13
6826,2468,11,Inland,418.96,-1.216,0.0,2.975,3.682,84.52,59.04
4130,2244,3,Inland,368.97,-1.011,0.0,2.732,0.337,71.47,57.05
7801,2550,2,Temperate,436.21,0.085,0.0,4.542,2.023,101.44,70.14
7753,2546,2,Polar,433.16,0.96,0.0,5.239,-0.023,44.78,58.65
4721,2293,6,Polar,379.59,-1.376,0.0,2.756,-1.521,57.42,65.19
1650,2037,7,Coastal,325.26,0.05,0.0,3.207,0.934,121.15,84.18
4140,2245,1,Tropics,372.0,-0.212,0.0,3.456,1.301,202.12,85.72
1617,2034,10,Tropics,325.27,-0.633,0.0,3.011,1.662,215.63,84.94
2029,2069,2,Tropics,332.06,-0.587,0.0,2.945,0.522,192.94,83.52
8517,2609,10,Temperate,448.76,-0.375,0.0,4.023,3.138,123.68,68.09
4575,2281,4,Temperate,375.95,1.369,0.0,4.858,-0.001,102.82,71.16
