time_index,year,month,region,co2_ppm,enso_index,volcanic_activity,ocean_heat_index,temperature_anomaly,rainfall_mm,humidity_pct,CO2_Reduction_Percent,Deforestation_Percent,Urban_Heat_Control_Percent,Irrigation_Efficiency_Percent,Water_Conservation_Percent,Renewable_Energy_Percent,Cloud_Seeding_Efficiency_Percent,Temperature_with_scenario,CO2_with_scenario,Rainfall_with_scenario,FloodRisk_Score,DroughtRisk_Score,HeatwaveRisk_Score,FloodRisk_Level,DroughtRisk_Level,HeatwaveRisk_Level
3039,2153,4,Tropics,350.66,-1.328,0.0,2.302,0.502,158.5,87.45,67,4,98,90,14,34,43,0.1419999999999999,347.35,158.54,77.67,-65.5052,-39.1148,High,Low,Low
9655,2704,8,Inland,9999.0,-0.916,0.0,3.759,3.4,100.8,61.6,98,78,34,48,61,72,75,1.78,9994.880000000001,101.58,61.989999999999995,-39.361999999999995,-12.532000000000002,Medium,Medium,High
2545,2112,2,Temperate,340.78,0.788,0.0,3.933,0.513,124.83,76.77,30,58,37,71,73,79,16,0.28300000000000003,339.85999999999996,125.41,65.505,-51.7098,-14.6302,Medium,Low,Medium
2592,2116,1,Tropics,340.54,0.644,0.0,3.647,1.225,194.71,80.4,50,85,89,15,2,35,91,1.1150000000000002,338.89000000000004,195.56000000000003,122.88000000000001,-61.22200000000001,-34.931000000000004,High,Low,Low
1188,1999,1,Temperate,319.45,-1.181,0.0,2.149,-0.937,114.23,75.13,85,10,86,21,18,6,23,-1.7770000000000001,315.3,114.33,56.565,-39.2098,-35.4662,Medium,Medium,Low
7966,2563,11,Coastal,435.44,-1.098,0.0,3.773,2.25,160.66,84.47,75,74,50,53,87,87,34,1.25,432.43,161.4,85.5,-58.52,-19.25,High,Low,Medium
6077,2406,6,Temperate,402.06,1.215,0.0,5.339,-0.819,82.64,64.61,86,97,12,88,20,74,43,-2.4189999999999996,398.73,83.61,66.905,-43.6506,-6.2514,Medium,Medium,High
107,1908,12,Coastal,297.54,-0.916,0.0,2.598,0.947,170.1,87.68,74,57,26,2,48,83,3,-0.273,294.41,170.67000000000002,92.83500000000001,-51.7102,-10.5638,High,Low,High
1315,2009,8,Temperate,317.25,-0.009,0.0,3.353,0.288,99.73,71.72,72,94,25,65,34,83,60,-0.9019999999999999,314.59,100.67,71.735,-43.561800000000005,-10.5412,High,Medium,High
8187,2582,4,Temperate,443.58,-0.03,0.0,4.681,1.663,90.06,66.35,77,32,72,38,82,98,44,0.843,440.04999999999995,90.38,38.39,-34.376799999999996,-28.2942,Low,High,Low
2753,2129,6,Inland,345.13,-0.255,0.0,3.479,-0.717,56.51,54.8,27,83,31,20,51,52,9,-0.9470000000000001,344.60999999999996,57.34,43.37,-21.580800000000004,-12.9682,Low,High,High
9753,2712,10,Temperate,9999.0,-0.16,0.0,4.593,2.72,125.25,69.4,74,45,94,26,10,78,28,2.18,9995.75,125.69999999999999,74.35,-42.038,-36.292,High,Medium,Low
6231,2419,4,Temperate,406.48,-0.452,0.0,3.894,-0.344,84.31,70.61,79,44,41,96,59,45,49,-1.5139999999999998,402.97,84.75,43.775000000000006,-45.2306,-17.308400000000002,Low,Medium,Medium
2876,2139,9,Inland,346.36,-0.691,0.0,2.577,4.481,109.91,53.8,44,92,1,35,9,16,5,3.6109999999999998,345.08000000000004,110.83,81.215,-38.80459999999999,1.7666,High,Medium,High
5323,2343,8,Tropics,391.54,-1.593,0.0,2.465,0.683,185.94,85.81,48,58,87,36,54,55,73,0.5930000000000001,389.72,186.52,99.86,-62.918800000000005,-34.4442,High,Low,Low
799,1966,8,Polar,306.97,0.803,0.0,3.67,-1.337,44.39,64.13,83,7,5,84,91,81,2,-2.947,302.89000000000004,44.46,6.130000000000003,-31.3168,-3.7682,Low,High,High
3570,2197,7,Inland,358.47,-0.084,0.0,3.735,1.555,69.53,53.45,26,65,45,19,80,68,1,1.4849999999999999,357.82,70.18,38.59,-24.26,-17.109,Low,High,Medium
2894,2141,3,Inland,344.64,1.038,0.0,4.189,-1.406,87.9,59.65,57,51,16,72,81,38,65,-2.386,342.29999999999995,88.41000000000001,43.30500000000001,-41.8774,-7.8316,Low,Medium,High
2927,2143,12,Inland,345.29,-1.055,0.0,2.858,1.579,100.07,62.56,28,43,56,2,79,93,96,1.579,344.32000000000005,100.5,47.349999999999994,-29.9184,-21.452600000000004,Low,High,Medium
8178,2581,7,Coastal,441.49,0.854,0.0,5.001,1.513,112.73,85.14,31,21,82,54,98,91,64,1.713,440.15,112.94,43.169999999999995,-43.99679999999999,-31.772200000000005,Low,Medium,Low
971,1980,12,Inland,312.18,0.697,0.0,3.792,2.154,101.98,55.78,100,96,44,43,42,58,41,0.5939999999999999,308.14,102.94,71.86999999999999,-39.2444,-17.2436,High,Medium,Medium
6687,2457,4,Tropics,413.44,0.546,0.0,4.352,1.832,131.06,80.49,7,41,5,8,68,84,46,1.7420000000000002,413.5,131.47,64.435,-40.344199999999994,-0.9547999999999999,Medium,Medium,High
8575,2614,8,Tropics,447.5,-0.278,0.0,4.204,2.631,193.54,82.17,44,55,79,11,27,56,0,2.541,445.85,194.09,108.145,-59.4106,-30.075400000000002,High,Low,Low
2020,2068,5,Coastal,330.86,-1.319,0.0,2.132,-0.417,108.6,88.99,63,99,27,13,99,19,62,-1.407,328.70000000000005,109.58999999999999,64.695,-36.0398,-11.644200000000001,Medium,Medium,High
9054,2654,7,Polar,459.1,0.258,0.0,4.182,1.264,32.78,60.25,31,7,38,91,3,88,48,1.024,457.62,32.85,17.925,-27.645400000000002,-14.585600000000001,Low,High,Medium
952,1979,5,Coastal,312.03,-0.413,0.0,3.059,-0.112,113.19,80.1,33,12,84,66,16,45,68,0.06799999999999995,310.5,113.31,57.055,-47.165800000000004,-33.559200000000004,Medium,Medium,Low
5359,2346,8,Temperate,391.83,1.389,0.0,5.083,,101.47,70.22,76,17,87,70,83,71,7,,388.2,101.64,39.32,,,Low,High,High
3857,2221,6,Tropics,364.77,1.132,0.0,4.727,1.377,117.59,80.64,3,55,100,35,14,76,24,2.317,365.17,118.14000000000001,72.77000000000001,-41.5152,-38.6098,High,Medium,Low
5861,2388,6,Polar,402.78,-1.058,0.0,3.218,-2.255,36.41,65.52,41,61,28,87,64,68,27,-2.795,401.34,37.019999999999996,24.01,-29.624000000000002,-12.877,Low,High,High
3145,2162,2,Tropics,349.58,0.45,0.0,3.958,0.953,182.17,79.14,11,85,63,28,22,27,81,1.363,349.88,183.02,112.61,-59.9608,-24.382200000000005,High,Low,Medium
3305,2175,6,Polar,352.84,0.112,0.0,3.497,-1.923,25.13,62.33,86,18,9,75,48,70,24,-3.553,348.71999999999997,25.31,8.454999999999998,-24.0142,-5.7318,Low,High,High
3006,2150,7,Coastal,347.44,0.448,0.0,3.734,0.42,125.7,90.44,46,83,89,30,10,93,38,0.39,345.96999999999997,126.53,86.16499999999999,-43.803,-35.366,High,Medium,Low
9001,2650,2,Temperate,455.03,-0.273,0.0,4.53,1.527,109.91,66.0,25,10,40,53,36,6,67,1.427,453.88,110.00999999999999,50.80499999999999,-43.032199999999996,-15.1438,Medium,Medium,Medium
7770,2547,7,Temperate,435.23,0.351,0.0,4.456,2.15,108.41,73.41,70,56,0,95,9,93,54,0.7499999999999998,432.29,108.97,69.485,-51.391,0.44999999999999984,Medium,Low,High
7438,2519,11,Temperate,427.16,-0.312,0.0,4.124,1.676,131.58,69.16,58,37,27,83,11,6,78,0.786,424.63000000000005,131.95000000000002,74.875,-55.8706,-10.3284,High,Low,High
7942,2561,11,Tropics,437.03,0.55,0.0,4.74,2.79,208.85,82.69,75,84,14,49,93,38,42,1.4300000000000002,434.11999999999995,209.69,111.445,-72.13499999999999,-4.742000000000001,High,Low,High
9238,2669,11,Coastal,458.85,-0.069,0.0,4.608,1.978,153.2,85.44,83,49,82,5,39,67,52,1.138,455.19000000000005,153.69,83.745,-46.6518,-32.117200000000004,High,Medium,Low
1056,1988,1,Temperate,312.74,-0.61,0.0,2.339,0.037,118.76,69.08,32,42,95,74,19,12,17,0.3470000000000001,311.56,119.18,68.39,-50.4152,-37.7918,Medium,Low,Low
3154,2162,11,Coastal,351.03,-0.731,0.0,2.693,0.146,160.06,86.95,2,66,38,29,16,56,66,0.486,351.59,160.72,96.96,-53.821600000000004,-14.9084,High,Low,Medium
3787,2215,8,Tropics,363.98,0.741,0.0,4.176,1.678,170.06,79.67,34,92,20,66,100,73,10,1.198,363.20000000000005,170.98,93.08999999999999,-64.0148,-7.2812,High,Low,High
9189,2665,10,Tropics,460.26,0.987,0.0,5.612,3.197,216.9,86.83,42,96,60,34,2,28,15,2.9570000000000003,459.11999999999995,217.86,137.33,-70.9752,-22.2258,High,Low,Medium
7825,2552,2,Coastal,435.83,0.461,0.0,4.782,1.667,133.46,88.62,96,35,43,4,98,66,56,0.1770000000000001,431.38,133.81000000000003,57.805000000000014,-40.87220000000001,-17.093799999999998,Medium,Medium,Medium
7539,2528,4,Temperate,430.84,-1.024,0.0,3.372,0.697,93.82,65.8,34,44,82,62,78,5,82,0.837,429.58,94.25999999999999,44.73,-40.343199999999996,-32.2978,Low,Medium,Low
7231,2502,8,Tropics,424.05,-0.873,0.0,3.836,2.171,176.13,84.05,31,70,68,78,62,80,27,2.231,423.2,176.82999999999998,97.01499999999999,-67.75659999999999,-25.861400000000003,High,Low,Medium
764,1963,9,Temperate,308.16,-0.886,0.0,2.251,-0.485,103.11,74.75,93,48,100,7,7,100,93,-1.3450000000000002,303.99000000000007,103.59,64.79499999999999,-33.015,-40.807,Medium,High,Low
5019,2318,4,Tropics,387.19,-0.087,0.0,3.42,1.34,133.63,83.25,20,17,6,92,98,11,44,1.0,386.36,133.79999999999998,52.399999999999984,-58.14,-1.8000000000000003,Medium,Low,High
4903,2308,8,Temperate,382.62,-0.518,0.0,3.353,2.08,-94.05,121.788,40,89,60,41,16,50,56,1.88,381.51,-93.16,-23.08,20.499999999999993,-22.872,Low,High,Medium
8093,2574,6,Coastal,440.39,-1.195,0.0,3.33,1.375,110.53,84.68,76,44,66,17,51,6,37,0.515,437.03,110.97,58.485,-36.48499999999999,-26.091,Medium,Medium,Medium
6843,2470,4,Polar,418.69,0.528,0.0,4.286,-0.973,27.01,61.3,71,16,23,35,77,1,80,-2.163,415.3,27.17,2.985000000000001,-16.016199999999998,-10.497800000000002,Low,High,High
2165,2080,6,Polar,333.44,0.378,0.0,3.546,-1.585,34.07,59.07,8,31,36,4,29,93,19,-1.3849999999999998,333.35,34.38,20.69,-11.668000000000001,-15.231,Low,High,Medium
1862,2055,3,Temperate,329.48,-0.151,0.0,3.407,0.055,111.69,75.12,39,47,89,96,99,87,74,0.16500000000000004,328.00000000000006,112.16,50.379999999999995,-52.782,-35.501000000000005,Medium,Low,Low
7850,2554,3,Coastal,437.63,-1.081,0.0,3.626,0.629,117.14,88.88,18,97,99,40,8,74,84,1.259,437.70000000000005,118.11,86.555,-42.9294,-38.8446,High,Medium,Low
9123,2660,4,Temperate,460.93,0.207,0.0,4.608,2.113,108.36,69.86,39,58,41,70,27,45,18,1.7429999999999999,459.56,108.94,66.47,-45.98479999999999,-15.354200000000002,Medium,Medium,Medium
2340,2095,1,Polar,336.63,-0.103,0.0,3.111,-0.214,47.82,65.86,18,53,6,69,31,14,99,-0.514,336.26,48.349999999999994,33.87499999999999,-28.510599999999997,-2.7084,Low,High,High
5527,2360,8,Polar,391.12,0.489,0.0,4.399,-1.068,52.52,67.34,33,10,83,57,56,90,36,-0.8980000000000001,389.57000000000005,52.62,18.11,-27.5452,-33.738800000000005,Low,High,Low
6743,2461,12,Coastal,415.86,1.031,0.0,4.736,2.556,161.93,85.35,47,56,39,17,54,94,99,2.0060000000000002,414.07,162.49,87.245,-51.3446,-14.396400000000002,High,Low,Medium
4003,2233,8,Inland,368.05,-0.889,0.0,3.501,1.178,78.92,60.37,39,24,62,3,69,11,82,1.0179999999999998,366.34000000000003,79.16,32.980000000000004,-23.9408,-24.1892,Low,High,Medium
1123,1993,8,Polar,316.92,-1.388,0.0,2.246,-0.941,35.6,65.47,57,32,86,93,82,0,37,-1.221,314.39,35.92,11.16,-29.864400000000003,-35.1326,Low,High,Low
8709,2625,10,Temperate,451.92,0.548,0.0,4.909,3.13,128.84,75.07,40,42,85,100,19,47,21,3.18,450.34000000000003,129.26,73.42999999999999,-57.506,-32.092,High,Low,Low
4049,2237,6,Coastal,365.97,-0.062,0.0,3.117,1.172,104.77,82.49,52,35,79,8,43,32,8,0.9219999999999999,363.72,105.11999999999999,54.459999999999994,-32.767199999999995,-31.0468,Medium,High,Low
7640,2536,9,Polar,432.25,1.514,0.0,5.216,1.006,45.11,58.68,75,32,49,18,41,75,8,-0.0040000000000000036,428.82,45.43,24.114999999999995,-17.2306,-19.602400000000003,Low,High,Medium
765,1963,10,Coastal,309.83,-1.032,0.0,2.019,0.424,168.82,88.34,87,22,94,66,59,78,48,-0.376,305.7,169.04,79.32,-64.0624,-37.8256,High,Low,Low
2344,2095,5,Temperate,335.46,0.167,0.0,3.832,0.296,77.81,69.84,86,42,47,54,97,5,12,-0.954,331.58,78.23,32.315,-34.6506,-19.3724,Low,High,Medium
4071,2239,4,Inland,369.33,-0.915,0.0,3.37,-0.809,98.99,63.96,4,90,44,89,62,62,77,-0.449,370.03,99.89,64.54499999999999,-47.946600000000004,-17.869400000000002,Medium,Medium,Medium
7216,2501,5,Polar,424.41,1.234,0.0,5.341,-1.43,47.38,61.19,12,81,90,53,86,25,88,-0.7699999999999999,424.62,48.190000000000005,31.195000000000004,-25.365000000000002,-36.462,Low,High,Low
4216,2251,5,Tropics,372.03,1.029,0.0,4.186,0.749,118.62,74.25,44,33,82,86,75,52,2,0.6890000000000001,370.15999999999997,118.95,54.375,-52.60940000000001,-32.3866,Medium,Low,Low
7952,2562,9,Tropics,438.77,-0.045,0.0,4.497,2.646,190.0,84.8,14,43,33,18,40,32,97,2.6959999999999997,438.5,190.42999999999998,100.115,-59.65059999999999,-11.582400000000002,High,Low,High
5970,2397,7,Tropics,400.2,-0.053,0.0,4.09,0.997,141.52,83.38,75,62,87,43,35,63,38,0.367,397.07,142.14000000000001,82.67,-51.095200000000006,-34.579800000000006,High,Low,Low
3350,2179,3,Polar,357.3,-0.568,0.0,3.268,-1.439,37.58,64.36,59,64,96,97,91,15,69,-1.6589999999999998,354.99,38.22,20.110000000000003,-31.529600000000002,-39.3954,Low,High,Low
4695,2291,4,Temperate,376.4,0.79,0.0,4.259,-0.39,-102.42,127.44,10,13,81,54,56,15,84,0.21999999999999997,376.03,-102.29,-58.44500000000001,19.975,-32.268,Low,High,Low
3399,2183,4,Coastal,355.89,-0.946,0.0,2.874,-0.275,106.64,82.96,25,70,28,41,10,51,81,-0.495,355.34,107.33999999999999,72.66999999999999,-40.6,-11.497000000000002,High,Medium,High
4081,2240,2,Inland,367.67,0.332,0.0,3.95,-0.161,102.61,60.11,42,34,1,6,82,98,0,-0.9909999999999999,365.90999999999997,102.94999999999999,45.27499999999999,-32.481399999999994,-0.9945999999999999,Low,High,High
9149,2662,6,Tropics,459.2,-0.412,0.0,3.992,2.034,143.23,76.73,1,59,23,8,18,13,33,2.2439999999999998,459.73999999999995,143.82,86.01,-43.8484,-7.853600000000001,High,Medium,High
1224,2002,1,Polar,318.53,0.158,0.0,3.2,-0.597,57.34,60.56,48,34,42,92,27,0,2,-1.137,316.46999999999997,57.68000000000001,33.64000000000001,-36.1588,-17.482200000000002,Low,Medium,Medium
6292,2424,5,Polar,408.81,-0.559,0.0,3.516,-2.491,61.15,61.67,9,74,10,34,43,74,17,-2.571,409.1,61.89,44.544999999999995,-26.395400000000002,-5.5426,Low,High,High
3122,2160,3,Coastal,351.17,0.402,0.0,3.818,0.351,110.51,84.71,28,36,52,55,41,66,40,0.31099999999999994,350.13000000000005,110.87,58.035,-44.1366,-20.613400000000002,Medium,Medium,Medium
510,1942,7,Polar,306.82,0.183,0.0,3.279,-1.942,34.64,65.49,59,73,65,54,41,55,69,-2.472,304.6,35.37,31.38499999999999,-22.3998,-27.4832,Low,High,Low
