Date,Region,Rainfall_mm,Temperature_C,Soil_Moisture,Humidity_%,Wind_Speed_mps,CO2_ppm,Evaporation_mm_day,Rainfall_Lag_mm,Flood_Risk,Drought_Risk,Heatwave_Risk
2022-06-27,kolkata,123.94,32.86,77.94,81.93,18.57,428.21,11.71,87.14,0,0,0
2022-01-21,texas,58.91,24.85,55.18,61.61,12.77,402.88,8.73,43.23,0,0,0
2020-12-31,florida,112.78,23.14,79.73,85.56,9.86,398.16,7.93,86.22,0,0,0
2021-12-08,texas,95.73,20.6,64.47,68.62,16.52,410.17,7.83,84.5,0,0,0
2023-05-06,newyork,116.56,19.97,67.68,70.03,19.94,410.65,7.99,100.14,0,0,0
2024-07-11,shanghai,123.86,22.5,78.43,82.56,10.43,464.59,7.79,111.02,0,0,0
2024-12-15,kashmir,173.81,11.86,71.29,67.38,17.13,364.07,5.27,150.44,0,0,0
2023-01-25,shanghai,107.78,13.55,69.53,73.43,23.32,473.5,6.4,78.43,0,0,0
2025-01-29,moscow,73.39,1.82,61.78,68.06,12.83,432.74,1.83,55.06,0,0,0
2025-06-30,newyork,98.1,19.66,64.63,68.53,14.42,401.26,7.34,73.37,0,0,0
2024-04-13,kashmir,158.09,22.58,74.99,73.98,24.62,373.7,9.24,133.74,0,0,0
2022-10-21,kolkata,169.42,24.54,79.86,78.64,18.5,423.48,9.21,130.32,0,0,0
2021-01-01,dubai,0.0,35.17,36.45,45.56,18.78,450.01,12.43,0.0,0,1,1
2024-05-27,london,137.22,17.75,77.47,79.69,18.75,394.25,7.2,99.58,0,0,0
2023-12-04,london,156.69,11.52,79.31,79.54,20.3,394.01,5.49,116.16,0,0,0
2024-09-23,london,160.99,10.64,76.45,75.44,21.15,386.56,5.31,125.1,0,0,0
2021-05-13,newyork,76.43,16.1,61.0,66.7,14.8,415.61,6.31,58.82,0,0,0
2024-09-07,beijing,82.41,13.77,52.4,55.2,23.39,483.96,6.47,67.18,0,0,0
2021-07-06,kolkata,174.16,29.64,79.52,77.63,13.99,434.38,10.29,151.82,1,0,0
2021-02-09,mumbai,106.22,28.06,74.8,80.22,18.41,420.17,10.26,82.62,0,0,0
2024-08-06,shanghai,145.84,19.72,74.17,74.48,17.98,470.78,7.71,120.52,0,0,0
2022-10-28,chennai,102.77,25.98,76.38,82.63,18.12,431.33,9.61,73.81,0,0,0
2022-07-03,newyork,126.14,20.9,66.45,67.29,14.26,407.8,7.7,97.15,0,0,0
2023-10-05,delhi,82.52,30.53,53.62,56.71,16.22,451.95,10.78,58.97,0,0,0
2023-08-22,delhi,83.92,33.23,57.13,60.93,7.96,438.42,10.77,72.38,0,0,0
2022-02-12,karachi,5.82,25.7,57.58,71.24,19.29,446.8,9.64,4.2,0,0,0
2025-05-05,kolkata,124.72,33.93,75.55,78.85,10.86,432.58,11.27,105.92,0,0,0
2024-11-11,london,171.03,7.4,79.31,77.76,16.12,386.79,3.83,122.24,0,0,0
2021-03-17,kolkata,110.37,30.03,76.63,81.99,19.8,441.61,10.99,87.29,0,0,0
2021-06-18,chennai,97.75,38.18,79.18,86.76,10.8,418.53,12.53,77.49,0,0,0
2022-02-23,newyork,72.63,11.0,63.74,70.6,24.38,402.73,5.74,55.34,0,0,0
2024-07-21,gujarat,67.38,37.08,46.51,49.72,20.9,454.65,13.21,60.47,0,0,1
2020-11-17,mumbai,109.3,23.0,75.26,80.42,21.19,419.08,9.02,85.58,0,0,0
2024-09-15,mumbai,150.7,28.51,73.63,73.2,9.66,424.98,9.52,134.25,1,0,0
2020-11-24,london,175.67,7.31,73.97,70.5,21.39,377.73,4.33,126.96,0,0,0
2025-02-17,newyork,85.75,16.38,68.35,74.72,25.3,400.54,7.44,75.06,0,0,0
2024-09-19,florida,169.68,30.39,85.35,85.47,18.43,397.28,10.96,123.4,1,0,0
2023-10-18,shanghai,114.6,18.15,67.67,70.27,13.65,453.69,6.81,92.0,0,0,0
2022-02-04,texas,73.45,27.29,54.93,59.48,14.72,401.37,9.66,58.16,0,0,0
2020-11-22,delhi,78.66,22.5,51.69,54.78,16.83,455.36,8.43,57.93,0,0,0
2025-01-17,texas,59.06,21.32,60.96,68.82,17.52,407.11,8.15,43.61,0,0,0
2020-11-07,kolkata,143.11,24.34,77.97,79.57,12.23,421.72,8.53,114.58,0,0,0
2022-10-24,london,175.36,6.51,74.66,71.4,24.87,390.98,4.44,128.25,0,0,0
2021-06-11,moscow,78.37,13.45,63.91,70.1,14.82,422.53,5.52,66.77,0,0,0
2022-06-03,dubai,11.21,43.14,37.53,45.51,17.36,456.93,14.68,9.52,0,1,1
2022-04-06,shanghai,52.17,24.31,62.62,71.76,14.07,462.76,8.7,39.88,0,0,0
2025-07-31,california,88.4,26.21,55.72,58.6,19.55,411.75,9.82,73.89,0,0,0
2025-03-06,kolkata,109.95,27.82,82.59,89.5,12.8,438.12,9.62,79.77,0,0,0
2024-02-20,florida,124.96,27.46,72.3,74.76,19.71,389.69,10.21,112.12,0,0,0
2021-12-24,chennai,91.42,25.1,70.08,76.17,13.09,419.99,8.84,69.21,0,0,0
2021-03-12,karachi,0.0,28.97,58.19,72.74,14.58,438.12,10.15,0.0,0,0,0
2025-06-29,kashmir,172.01,21.19,70.89,67.11,25.22,381.66,8.88,130.04,0,0,0
2021-03-31,shanghai,76.53,22.05,64.45,70.99,1.3,472.24,6.74,57.28,0,0,0
2025-10-24,karachi,72.95,23.69,59.65,65.44,28.92,437.14,10.0,51.82,0,0,0
2025-10-15,delhi,120.94,25.47,66.44,67.94,9.94,455.01,8.64,86.78,0,0,0
2021-05-02,karachi,10.93,40.3,56.41,69.15,17.26,436.28,13.82,8.55,0,1,0
2024-10-14,chennai,131.0,30.11,74.89,77.24,17.49,429.63,10.78,111.37,0,0,0
2023-08-19,shanghai,147.86,19.39,76.88,77.61,13.63,459.67,7.18,120.9,0,0,0
2025-01-02,delhi,76.59,29.19,54.38,58.41,19.03,452.0,10.66,61.88,0,0,0
2025-06-04,karachi,49.95,30.35,63.19,72.75,3.55,416.28,9.46,38.29,0,1,0
2024-04-19,kolkata,119.1,36.08,74.58,78.34,26.35,435.06,13.46,104.66,0,0,0
2025-05-21,gujarat,17.25,38.18,48.38,58.32,15.36,433.15,12.99,14.71,0,1,0
2023-06-13,beijing,61.31,17.81,47.1,51.21,4.02,473.76,5.74,50.32,0,0,0
2022-08-01,karachi,105.62,29.95,71.09,75.66,15.14,431.21,10.5,85.88,0,0,0
2022-03-28,newyork,64.12,14.66,60.77,67.95,19.18,401.36,6.32,50.03,0,0,0
2024-11-13,karachi,89.65,26.12,64.32,69.19,23.91,435.38,10.23,79.3,0,0,0
2025-06-20,texas,78.75,34.48,56.23,60.44,24.43,404.27,12.79,66.73,0,0,0
2022-03-14,texas,56.72,27.77,65.8,75.15,12.06,419.19,9.54,43.5,0,0,0
2024-12-16,gujarat,57.78,29.67,42.35,45.72,18.14,438.16,10.71,44.46,0,0,0
2024-11-12,delhi,76.09,23.91,52.01,55.5,14.97,448.81,8.67,59.64,0,0,0
2022-07-28,texas,106.21,29.03,56.72,57.62,17.58,406.86,10.47,94.76,0,0,0
2025-05-30,mumbai,102.53,30.83,70.26,75.0,11.61,421.27,10.41,87.15,0,0,0
2023-03-18,beijing,28.28,14.37,47.32,55.62,9.46,500.56,5.26,20.17,0,0,0
2021-12-30,dubai,0.0,36.47,29.35,36.69,9.11,440.07,11.85,0.0,0,1,1
2025-08-31,london,173.73,15.01,79.06,77.11,8.37,396.67,5.34,135.81,0,0,0
2025-08-31,california,99.39,25.71,57.65,59.64,11.48,410.24,8.86,82.93,0,0,0
2024-12-01,london,151.48,5.18,74.73,74.48,9.73,394.0,2.53,113.25,0,0,0
2025-07-21,delhi,80.92,36.36,50.67,53.23,16.15,442.8,12.52,68.56,0,0,0
2025-05-31,chennai,100.51,33.54,75.52,81.83,18.74,426.82,11.94,77.11,0,0,0
2021-12-15,karachi,33.55,24.18,57.83,68.1,11.86,443.13,8.44,29.26,0,0,0
2021-08-23,kolkata,168.48,35.63,77.72,76.1,16.67,429.84,12.36,124.07,1,0,0
2022-09-12,delhi,96.32,36.25,55.09,56.82,18.09,462.97,12.68,75.54,0,0,0
2024-08-09,newyork,140.44,14.5,72.04,72.49,17.7,407.6,6.12,113.19,0,0,0
2022-01-14,newyork,94.95,8.77,65.27,69.72,12.19,379.37,3.85,69.12,0,0,0
2022-03-24,beijing,33.84,14.79,50.53,58.93,20.07,493.32,6.44,24.88,0,0,0
2021-11-30,london,145.81,3.07,72.58,72.5,17.59,390.21,2.68,104.48,0,0,0
2021-12-30,gujarat,35.83,28.19,43.08,49.37,8.24,432.61,9.28,30.23,0,0,0
2023-10-12,california,150.47,17.13,64.63,61.97,10.71,411.48,6.21,106.26,0,0,0
2021-09-25,gujarat,66.37,36.75,51.03,55.49,14.52,460.48,12.48,50.89,0,0,0
2021-10-12,newyork,162.54,12.41,70.25,67.49,18.54,414.5,5.58,139.77,0,0,0
2021-10-27,shanghai,150.31,14.09,70.01,68.72,13.76,464.18,5.6,132.79,0,0,0
2022-12-19,london,159.31,6.81,76.5,75.71,16.9,379.32,3.73,137.22,0,0,0
2021-09-07,california,127.51,23.53,62.22,61.84,6.7,409.44,7.73,94.9,0,0,0
2024-06-23,newyork,113.12,21.07,68.18,71.09,9.59,389.79,7.28,100.09,0,0,0
2023-07-21,delhi,79.41,38.96,58.12,62.73,15.15,450.23,13.2,60.65,0,0,0
2024-02-18,newyork,77.09,12.74,62.32,68.26,16.11,397.53,5.43,59.2,0,0,0
2023-02-15,california,56.22,18.3,52.21,58.24,15.98,421.58,7.09,42.94,0,0,0
2022-07-28,delhi,93.34,37.0,57.6,60.33,12.41,458.52,12.34,74.3,0,0,0
2025-01-26,florida,108.32,25.19,79.48,85.81,12.39,417.64,8.8,80.99,0,0,0
2021-11-02,kolkata,141.22,22.31,74.91,75.98,14.83,423.86,8.18,109.71,0,0,0
2023-03-06,texas,59.76,28.59,57.29,64.14,18.37,414.6,10.41,49.17,0,0,0
2021-01-24,florida,122.39,22.09,77.16,81.16,11.81,424.64,7.81,91.07,0,0,0
2024-06-06,mumbai,110.44,32.17,74.85,79.76,12.15,431.36,10.87,92.68,0,0,0
2025-10-22,texas,110.47,24.12,63.7,65.81,22.74,402.87,9.51,79.35,0,0,0
2023-03-18,florida,90.81,30.49,71.84,78.45,16.67,407.29,10.81,75.47,0,0,0
2021-12-06,chennai,83.03,25.56,66.29,72.48,14.83,419.15,9.15,59.46,0,0,0
2021-02-16,shanghai,81.26,19.99,68.84,75.9,20.94,469.87,8.09,64.69,0,0,0
2025-07-02,london,180.66,15.11,80.25,77.73,17.92,404.77,6.32,155.28,0,0,0
2025-07-25,texas,102.31,31.43,63.85,67.03,20.85,423.53,11.51,84.27,0,0,0
2023-11-25,kashmir,197.2,13.25,75.58,69.83,16.84,373.46,5.66,170.86,0,0,0
2021-07-30,london,167.87,15.35,76.94,75.19,18.73,379.12,6.48,138.79,0,0,0
2024-10-25,texas,104.27,24.73,63.22,66.0,14.52,427.62,8.87,86.18,0,0,0
2025-09-18,dubai,38.3,38.7,40.45,45.78,9.87,458.59,12.6,27.33,0,1,1
2023-05-23,newyork,72.15,22.32,61.43,67.76,22.83,403.02,8.98,60.37,0,0,0
2021-09-10,newyork,118.28,14.84,60.79,61.2,12.49,403.52,5.7,99.21,0,0,0
2020-10-27,gujarat,62.52,33.11,46.15,49.88,18.25,446.98,11.76,49.01,0,0,0
2025-08-02,beijing,63.1,16.25,48.1,52.23,16.22,479.64,6.5,55.45,0,0,0
2022-07-27,karachi,71.66,31.2,62.9,69.67,16.71,443.94,11.03,61.21,0,0,0
2021-06-22,dubai,24.64,44.14,42.72,50.32,18.55,451.57,15.1,21.17,0,1,0
2023-10-22,florida,182.99,21.81,82.17,79.84,15.64,393.55,8.11,137.94,0,0,0
2024-03-20,texas,38.31,26.3,49.78,57.44,2.88,411.38,8.18,31.41,0,0,0
2025-10-14,moscow,122.36,7.46,65.14,66.13,14.98,419.62,3.74,100.78,0,0,0
2023-12-22,gujarat,41.69,27.1,48.25,55.11,4.79,441.67,8.61,29.91,0,0,0
2024-03-15,london,109.02,11.55,71.53,75.78,19.94,381.5,5.46,80.68,0,0,0
2024-08-23,california,115.11,26.06,56.96,56.81,16.79,424.5,9.5,100.63,0,0,0
2022-02-21,delhi,58.64,30.8,60.63,68.46,25.78,448.36,11.82,50.24,0,0,0
2024-05-28,karachi,45.28,37.26,59.06,68.16,20.38,448.86,13.22,36.04,0,1,0
2025-06-25,kolkata,109.6,34.12,76.79,82.28,12.19,433.0,11.45,80.26,0,0,0
2023-04-25,kashmir,134.35,20.3,69.27,69.79,30.47,376.08,9.14,96.24,0,0,0
2025-09-20,kolkata,148.82,28.97,80.43,81.93,20.66,426.64,10.76,122.89,0,0,0
2022-01-06,shanghai,100.43,12.98,75.1,81.32,29.73,477.62,6.87,82.11,0,0,0
2022-09-10,newyork,116.85,18.92,71.9,75.27,10.56,403.51,6.73,90.76,0,0,0
2021-07-02,delhi,72.66,32.92,57.26,62.49,21.94,446.19,12.07,59.61,0,0,0
2023-03-30,newyork,45.13,15.58,58.26,67.19,10.53,398.86,5.73,35.25,0,0,0
2024-06-08,dubai,42.18,42.65,43.05,48.54,11.43,452.15,13.94,32.16,0,1,1
2025-08-20,shanghai,164.04,24.79,71.9,69.37,17.17,465.58,9.15,129.33,0,0,0
2021-05-10,moscow,89.94,11.58,63.41,68.02,12.86,407.55,4.76,74.06,0,0,0
2024-12-16,mumbai,114.76,22.63,70.45,73.71,16.91,436.61,8.48,93.77,0,0,0
2024-02-13,karachi,1.27,28.58,56.27,70.18,18.15,425.1,10.39,0.94,0,0,0
2023-07-11,beijing,61.58,18.81,47.34,51.48,24.86,492.93,8.13,43.32,0,0,0
2022-03-05,florida,101.02,25.47,75.38,81.6,6.63,406.18,8.3,77.63,0,0,0
2025-05-27,kashmir,174.66,19.98,70.35,66.11,20.37,374.79,8.03,128.45,0,0,0
2022-06-26,delhi,64.54,36.59,60.86,68.01,16.54,457.7,12.63,52.54,0,0,0
2023-02-11,shanghai,95.76,15.99,66.13,70.69,9.55,475.35,5.75,79.5,0,0,0
2022-05-30,newyork,100.14,23.41,62.46,65.55,13.01,406.42,8.32,89.99,0,0,0
2024-03-19,london,112.38,11.35,72.21,76.21,19.51,383.72,5.35,98.4,0,0,0
2023-06-27,california,80.21,26.65,59.05,63.79,8.33,417.84,8.83,61.41,0,0,0
2022-10-21,mumbai,176.41,28.93,80.44,78.5,20.32,402.74,10.71,139.16,1,0,0
2022-04-13,kashmir,178.65,26.12,73.1,69.04,26.26,374.49,10.46,138.62,1,0,0
2024-12-01,newyork,144.36,3.75,65.99,64.44,20.11,386.84,3.14,118.61,0,0,0
2024-11-16,moscow,113.92,9.77,70.12,73.41,16.41,426.07,4.57,85.29,0,0,0
2025-09-04,beijing,85.79,12.12,47.16,48.23,10.06,479.21,4.64,73.83,0,0,0
2021-03-28,kolkata,123.77,27.24,71.35,73.72,19.7,422.08,10.14,96.88,0,0,0
2024-11-09,florida,130.47,23.05,77.38,80.42,11.99,394.33,8.11,106.14,0,0,0
2023-03-18,newyork,79.71,15.8,65.74,72.21,21.82,401.79,6.92,56.49,0,0,0
2024-04-14,newyork,92.17,17.81,65.37,70.2,11.49,400.32,6.49,75.78,0,0,0
2021-04-12,newyork,65.36,15.84,60.32,67.23,19.47,394.25,6.7,56.51,0,0,0
2022-07-22,shanghai,134.18,20.65,70.75,71.66,9.06,487.16,7.1,113.7,0,0,0
2023-12-22,delhi,62.22,27.77,53.81,59.48,14.26,450.35,9.76,51.11,0,0,0
2021-07-31,moscow,84.45,10.94,64.16,69.65,10.98,440.64,4.38,66.35,0,0,0
2020-12-13,california,90.85,21.1,60.94,64.82,13.63,415.45,7.69,77.63,0,0,0
2023-10-12,gujarat,96.72,35.33,48.27,48.25,20.81,429.98,12.68,76.26,0,0,1
2021-04-03,shanghai,81.21,16.62,68.78,75.82,19.12,459.24,6.9,66.47,0,0,0
2023-01-15,kolkata,101.93,25.05,69.39,74.0,14.94,419.36,9.01,78.15,0,0,0
2021-10-20,kashmir,191.12,15.78,73.13,67.52,15.41,372.68,6.28,151.0,0,0,0
2022-12-24,moscow,71.78,6.29,61.47,67.86,15.36,408.74,3.42,62.34,0,0,0
2022-10-13,chennai,109.74,30.45,74.1,78.9,16.81,420.78,10.82,94.95,0,0,0
2021-08-23,kashmir,192.63,17.82,69.01,62.18,15.44,378.09,6.89,146.62,0,0,0
2021-02-02,gujarat,51.36,34.27,45.51,50.47,15.16,446.69,11.8,41.05,0,0,0
2022-02-23,kashmir,160.98,14.54,66.69,63.25,17.84,389.33,6.15,122.49,0,0,0
2024-09-21,florida,142.18,27.5,77.09,78.59,21.57,396.71,10.41,127.27,0,0,0
2025-02-01,moscow,66.98,4.94,70.59,79.86,11.75,417.6,2.66,53.62,0,0,0
2023-05-07,florida,109.42,31.65,71.77,76.03,15.27,409.06,11.02,86.06,0,0,0
2024-04-30,london,128.42,7.28,73.75,76.13,17.7,383.65,3.95,106.59,0,0,0
2025-01-11,kolkata,114.67,22.46,75.27,79.75,12.95,425.49,8.03,83.05,0,0,0
2021-08-29,dubai,31.56,41.26,39.21,45.06,7.33,444.17,13.11,26.03,0,1,1
2024-08-29,shanghai,125.32,22.78,71.86,74.16,19.95,468.97,8.83,92.6,0,0,0
2025-05-23,california,65.25,29.35,57.34,63.51,14.85,416.1,10.29,51.96,0,0,0
2023-10-14,kashmir,218.93,15.06,71.34,61.81,9.41,380.87,5.46,162.67,0,0,0
2025-02-25,chennai,76.71,25.51,65.63,72.45,14.95,418.9,9.15,57.78,0,0,0
2020-11-02,chennai,120.99,32.22,70.54,73.05,21.03,428.54,11.77,105.49,0,0,0
2025-10-04,newyork,125.02,13.23,67.87,69.21,14.56,396.96,5.42,107.05,0,0,0
2023-11-10,shanghai,93.52,14.05,69.04,74.61,13.62,457.92,5.58,82.1,0,0,0
2023-06-22,california,88.89,26.92,59.43,63.17,14.38,419.82,9.52,62.85,0,0,0
2025-01-21,gujarat,18.46,30.91,38.58,45.91,6.11,431.39,9.88,14.95,0,1,0
2022-01-18,kashmir,154.24,13.36,67.52,65.12,15.87,373.22,5.59,114.99,0,0,0
2023-03-08,florida,87.08,26.61,69.89,76.48,14.74,412.7,9.46,66.57,0,0,0
2024-01-12,gujarat,28.99,28.14,49.56,58.33,26.82,439.78,11.12,21.2,0,0,0
2023-09-03,newyork,143.45,16.05,67.44,66.37,11.1,398.09,5.93,116.2,0,0,0
2023-02-13,newyork,72.61,11.22,63.94,70.84,13.4,404.1,4.71,65.24,0,0,0
2021-07-10,newyork,136.19,19.32,68.47,68.56,6.7,402.42,6.47,112.66,0,0,0
2024-01-03,dubai,3.51,30.44,35.88,44.41,10.86,447.08,10.22,2.84,0,1,0
2021-09-26,london,184.84,14.27,76.3,72.27,14.8,380.43,5.76,142.04,0,0,0
2021-02-21,kashmir,166.8,17.51,65.93,61.56,20.01,381.95,7.25,131.23,0,0,0
2024-10-28,texas,120.88,26.01,64.88,65.99,16.71,419.31,9.47,91.34,0,0,0
2022-05-26,kolkata,137.25,35.18,81.25,84.4,17.17,423.14,12.27,114.96,0,0,0
2022-12-23,moscow,114.58,5.97,75.86,80.5,16.18,421.85,3.41,99.29,0,0,0
2022-12-22,dubai,26.97,35.07,42.3,49.51,14.47,456.27,11.97,21.58,0,1,1
2025-06-15,newyork,133.46,23.05,65.34,65.0,18.36,394.58,8.75,97.1,0,0,0
2021-09-23,kashmir,192.29,16.96,74.37,68.92,23.96,377.95,7.48,138.61,0,0,0
2022-11-11,newyork,121.34,10.87,68.49,70.44,13.31,420.1,4.59,99.55,0,0,0
2025-08-26,shanghai,119.67,23.23,73.42,76.82,17.77,463.46,8.74,96.22,0,0,0
2023-10-16,london,181.4,8.27,76.29,72.68,8.44,384.89,3.32,129.25,0,0,0
2023-09-23,shanghai,158.23,19.93,73.01,71.48,14.68,465.68,7.45,116.4,0,0,0
2021-01-25,karachi,24.56,31.35,54.05,64.49,23.38,440.74,11.74,20.07,0,1,0
2024-04-10,kashmir,151.1,23.08,65.93,63.52,14.04,383.21,8.33,120.36,0,0,0
2021-05-13,kashmir,168.09,25.81,67.6,63.49,14.2,357.03,9.16,142.18,1,0,0
2023-08-08,kashmir,189.51,21.39,72.22,66.58,16.77,375.41,8.09,135.27,0,0,0
2024-02-15,shanghai,74.37,15.8,64.58,71.43,13.89,472.84,6.13,55.77,0,0,0
2021-12-01,moscow,113.52,2.24,65.67,67.9,15.51,419.89,2.22,88.8,0,0,0
2022-10-27,california,114.69,16.67,59.75,60.35,15.48,415.62,6.55,81.48,0,0,0
2023-05-13,shanghai,135.33,22.07,70.85,71.65,8.65,474.89,7.49,120.37,0,0,0
2024-08-06,shanghai,129.96,17.82,70.4,71.76,20.74,471.6,7.42,104.58,0,0,0
2024-03-31,london,130.4,13.07,73.6,75.71,10.86,387.06,5.01,103.23,0,0,0
2023-07-06,mumbai,141.55,33.05,77.05,78.62,9.95,401.1,10.91,117.51,0,0,0
2024-03-16,kashmir,139.08,18.05,65.32,64.27,11.77,391.0,6.59,101.94,0,0,0
2022-10-29,karachi,62.82,25.5,67.48,76.5,13.74,437.58,9.02,55.03,0,0,0
2023-09-04,shanghai,121.55,17.27,74.98,78.53,14.1,469.38,6.59,87.65,0,0,0
2020-11-05,gujarat,53.6,38.65,53.04,59.59,7.81,440.91,12.38,40.6,0,0,0
2022-03-14,shanghai,101.2,22.68,68.69,73.21,15.34,480.25,8.34,74.04,0,0,0
2021-10-08,gujarat,61.33,34.63,53.43,59.12,12.98,437.32,11.69,45.19,0,0,0
2023-04-11,chennai,75.37,31.11,76.54,86.25,15.12,416.46,10.85,67.34,0,0,0
2022-09-18,karachi,49.06,33.53,62.28,71.71,19.93,433.5,12.05,35.94,0,1,0
2021-07-17,beijing,83.38,17.07,53.28,56.17,8.71,479.4,5.99,73.68,0,0,0
2025-03-28,kashmir,154.15,15.48,69.76,67.93,10.8,371.12,5.72,133.16,0,0,0
2024-07-06,shanghai,132.42,18.27,71.33,72.61,16.25,483.13,7.11,97.76,0,0,0
2023-03-17,beijing,59.16,15.05,44.72,48.51,18.09,486.37,6.33,51.39,0,0,0
2023-04-08,beijing,23.89,15.71,47.89,56.88,13.88,471.95,6.1,20.86,0,0,0
2025-06-04,karachi,50.43,33.51,56.83,64.73,18.34,440.79,11.89,42.01,0,0,0
2022-09-12,delhi,104.76,32.68,55.38,56.13,6.48,451.2,10.45,91.44,0,0,0
2023-11-23,texas,93.79,17.98,61.18,64.75,10.29,413.5,6.42,66.44,0,0,0
2025-01-28,texas,66.33,23.12,57.24,63.26,15.98,421.0,8.53,57.1,0,0,0
2025-05-05,gujarat,43.33,40.12,46.65,52.89,13.07,445.28,13.34,31.31,0,1,0
2021-10-25,kashmir,207.36,13.22,66.7,57.46,6.97,377.63,4.66,157.59,0,0,0
2025-09-14,dubai,51.42,39.95,44.02,48.6,16.07,457.22,13.59,37.9,0,0,1
2022-12-20,california,75.26,18.84,55.79,60.33,11.33,406.26,6.78,65.2,0,0,0
2021-02-20,kolkata,118.0,27.59,77.85,82.57,28.44,435.23,11.12,92.76,0,0,0
2024-08-13,shanghai,135.7,24.19,76.4,78.54,25.53,471.84,9.81,112.12,0,0,0
2024-06-07,gujarat,29.78,37.22,49.48,58.13,15.15,432.28,12.68,23.14,0,1,0
2024-03-25,london,122.15,13.06,76.95,80.92,26.45,394.89,6.56,87.24,0,0,0
2021-01-13,florida,108.41,21.94,67.78,71.17,4.66,403.24,7.05,80.14,0,0,0
2021-10-30,kolkata,155.94,25.26,78.94,79.18,20.42,430.05,9.62,127.0,1,0,0
2024-02-15,dubai,0.0,34.06,35.42,44.28,14.03,443.77,11.62,0.0,0,1,0
2020-11-07,texas,57.57,23.93,57.7,64.93,13.0,423.61,8.48,44.84,0,0,0
2025-10-06,shanghai,153.45,13.87,74.76,74.27,22.66,476.18,6.43,116.91,0,0,0
2024-03-02,london,110.78,12.36,68.81,72.17,10.84,392.74,4.79,85.72,0,0,0
2020-12-15,kolkata,162.82,19.48,78.71,78.04,14.16,434.1,7.26,135.75,0,0,0
2025-04-06,florida,78.01,31.44,72.46,80.83,16.91,411.07,11.12,56.49,0,0,0
2021-05-10,delhi,50.88,37.92,50.7,57.02,11.77,436.42,12.55,40.56,0,0,0
2023-02-12,london,101.74,9.06,73.53,79.19,11.31,387.32,3.85,82.26,0,0,0
2021-04-11,kashmir,132.87,20.08,66.78,66.86,4.22,372.57,6.45,108.41,0,0,0
2022-11-03,florida,139.82,21.47,82.45,85.59,17.24,429.7,8.17,99.12,0,0,0
2022-06-26,mumbai,117.68,30.93,73.15,76.72,16.67,401.2,10.95,82.54,0,0,0
2021-09-13,karachi,84.9,31.09,68.4,74.89,22.57,435.89,11.58,61.21,0,0,0
