Date,Region,Country,Rainfall_mm,Temperature_C,Soil_Moisture,Humidity_%,Wind_Speed_mps,CO2_ppm,Evaporation_mm_day,Rainfall_Lag_mm,Heat_Index,Drought_Index,Flood_Potential,Extreme_Event,Flood_Risk,Drought_Risk,Heatwave_Risk,Month,Year,Season,Temperature_Anomaly,Rainfall_Anomaly,Climate_Risk_Score
2016-12-31,karachi,Pakistan,36.09,19.09,44.75,65.4,10.71,453.0,7.19,31.98,22.36,31.2,36.09,0,0,0,0,12,2016,Winter,-11.87380090497738,-2.440497737556562,0.0
2020-03-15,dubai,UAE,40.26,34.12,31.02,45.76,15.26,456.49,11.29,36.22,36.41,36.86,68.5,0,0,0,0,3,2020,Spring,-5.262889908256888,21.570871559633026,0.0
2024-02-05,mumbai,India,103.67,24.58,66.65,75.87,17.3,430.33,9.48,70.81,28.38,0.0,112.84,0,0,0,0,2,2024,Winter,-5.408599033816422,-79.29946859903377,0.0
2021-08-19,lahore,Pakistan,65.66,29.87,61.68,67.06,11.02,463.22,8.37,45.49,33.22,0.81,85.39,0,0,0,0,8,2021,Summer,0.8731052631578962,8.629473684210524,0.0
2019-07-31,kashmir,India,490.53,27.15,100.0,71.05,12.38,395.38,7.24,418.35,30.7,0.0,504.82,0,1,0,0,7,2019,Summer,8.167384615384613,238.0062051282051,33.333333333333336
2022-06-27,kolkata,India,248.38,38.54,81.13,82.41,13.89,445.27,11.65,232.79,42.66,0.0,285.46,0,1,0,0,6,2022,Summer,8.313211009174314,50.46137614678901,33.333333333333336
2017-09-01,islamabad,Pakistan,80.2,26.37,50.03,61.07,13.54,417.54,7.74,65.38,29.42,0.0,92.93,0,0,0,0,9,2017,Autumn,0.9750226244343878,-6.122217194570126,0.0
2025-05-23,delhi,India,42.15,40.53,50.13,54.08,9.33,479.5,9.84,29.07,43.24,30.81,83.21,0,0,0,0,5,2025,Spring,7.60356097560976,-59.140634146341476,0.0
2025-09-19,california,USA,75.72,24.78,49.82,64.77,15.04,441.51,7.68,60.76,28.02,0.0,85.29,0,0,0,0,9,2025,Autumn,2.2296464646464678,-6.454343434343443,0.0
2019-05-08,moscow,Russia,126.44,13.57,63.33,72.98,9.83,410.08,5.65,118.58,17.22,0.0,126.44,0,0,0,0,5,2019,Spring,5.563251231527094,38.26187192118226,0.0
2023-06-01,kashmir,India,166.57,25.24,49.61,61.17,4.04,404.22,6.06,110.69,28.3,0.0,177.05,0,1,0,0,6,2023,Summer,6.257384615384613,-85.95379487179488,33.333333333333336
2020-07-11,florida,USA,127.41,36.47,61.76,78.33,19.06,412.75,12.38,105.88,40.38,0.0,160.34,0,0,0,0,7,2020,Summer,10.313333333333333,2.4284999999999997,0.0
2022-06-30,edinburgh,UK,234.31,18.72,65.05,71.37,6.88,415.94,5.47,148.61,22.29,0.0,234.31,0,1,0,0,6,2022,Summer,9.220462962962962,76.84462962962962,33.333333333333336
2021-05-03,california,USA,122.43,33.61,40.28,53.76,10.24,441.32,10.07,89.51,36.3,0.0,149.65,0,0,0,0,5,2021,Spring,11.059646464646466,40.255656565656565,0.0
2023-01-13,mumbai,India,103.84,19.04,61.85,76.0,10.46,434.0,6.44,76.41,22.84,0.0,103.84,0,0,0,0,1,2023,Winter,-10.948599033816421,-79.12946859903377,0.0
2023-03-13,mumbai,India,98.67,30.19,60.1,75.35,10.05,444.39,9.26,70.22,33.96,0.0,119.05,0,0,0,0,3,2023,Spring,0.20140096618358072,-84.29946859903377,0.0
2025-07-02,delhi,India,127.83,38.97,57.37,64.76,14.33,489.53,11.26,84.64,42.21,0.0,165.77,0,0,0,0,7,2025,Summer,6.043560975609758,26.539365853658524,0.0
2022-09-28,kolkata,India,348.32,32.16,85.4,73.9,18.21,440.81,10.33,300.98,35.86,0.0,372.65,0,1,0,0,9,2022,Autumn,1.933211009174311,150.401376146789,33.333333333333336
2020-01-15,dubai,UAE,11.55,23.93,28.3,42.05,15.94,459.52,8.48,8.88,26.04,67.42,19.42,0,0,0,0,1,2020,Winter,-15.452889908256886,-7.139128440366971,0.0
2023-05-24,edinburgh,UK,237.98,17.74,72.17,73.98,19.25,385.59,7.73,223.47,21.44,0.0,237.98,0,1,0,0,5,2023,Spring,8.240462962962962,80.51462962962961,33.333333333333336
2017-09-16,shanghai,China,77.81,17.38,66.45,77.8,10.09,483.73,5.19,48.96,21.27,0.0,77.81,0,0,0,0,9,2017,Autumn,-1.0946511627906972,-41.65167441860464,0.0
2019-10-02,moscow,Russia,67.55,10.77,48.83,69.2,11.93,429.81,4.19,41.86,14.23,0.0,67.55,0,0,0,0,10,2019,Autumn,2.763251231527093,-20.62812807881774,0.0
2020-06-14,florida,USA,207.3,36.03,75.65,79.46,10.4,421.52,10.79,129.74,40.0,0.0,239.35,0,1,0,0,6,2020,Summer,9.873333333333335,82.31850000000001,33.333333333333336
2016-03-13,lahore,Pakistan,119.06,27.18,65.75,67.03,16.8,438.18,11.13,108.99,30.53,0.0,133.41,0,0,0,0,3,2016,Spring,-1.8168947368421051,62.02947368421053,0.0
2022-02-09,shanghai,China,108.68,20.19,47.64,70.8,9.9,481.51,5.77,102.28,23.73,0.0,109.06,0,0,0,0,2,2022,Winter,1.715348837209305,-10.781674418604638,0.0
2017-08-01,moscow,Russia,51.36,14.67,59.23,71.81,14.97,430.71,7.39,38.33,18.26,12.74,51.36,0,0,0,0,8,2017,Summer,6.663251231527093,-36.818128078817736,0.0
2016-09-19,abudhabi,UAE,0.0,40.57,28.43,41.43,16.95,461.04,11.09,0.0,42.64,79.28,41.14,0,0,1,0,9,2016,Autumn,2.9486138613861357,-15.491633663366336,33.333333333333336
2018-04-08,dubai,UAE,52.23,38.94,28.78,46.56,6.53,454.37,11.25,43.62,41.27,24.49,90.11,0,0,0,0,4,2018,Spring,-0.44288990825688757,33.540871559633025,0.0
2021-07-03,texas,USA,133.62,37.14,57.44,65.57,16.61,445.51,12.8,99.04,40.41,0.0,167.89,0,0,0,0,7,2021,Summer,8.469124423963134,57.006313364055316,0.0
2017-09-10,manchester,UK,128.33,12.0,74.49,86.84,16.23,380.35,3.68,94.62,16.34,0.0,128.33,0,0,0,0,9,2017,Autumn,1.3649056603773566,-44.281132075471675,0.0
2022-03-03,delhi,India,84.76,24.17,57.39,58.68,12.91,472.85,7.79,75.83,27.11,0.0,93.1,0,0,0,0,3,2022,Spring,-8.75643902439024,-16.53063414634147,0.0
2017-07-07,lahore,Pakistan,68.82,40.13,46.31,62.59,4.72,433.52,11.66,54.23,43.26,0.0,109.08,0,0,0,0,7,2017,Summer,11.133105263157898,11.78947368421052,0.0
2019-12-13,edinburgh,UK,84.91,6.29,68.34,80.8,11.06,380.88,3.7,68.83,10.33,0.0,84.91,0,0,0,0,12,2019,Winter,-3.2095370370370366,-72.55537037037038,0.0
2022-12-31,islamabad,Pakistan,38.41,17.89,38.07,53.49,3.42,443.01,5.5,35.07,20.57,34.85,38.41,0,0,0,0,12,2022,Winter,-7.504977375565613,-47.91221719457013,0.0
2017-03-16,guangzhou,China,204.7,23.39,70.91,80.61,7.76,484.73,7.19,193.48,27.42,0.0,211.48,0,1,0,0,3,2017,Spring,-1.6661304347826125,35.63378260869558,33.333333333333336
2023-10-30,novosibirsk,Russia,50.38,-4.66,48.06,61.1,13.6,447.81,0.09,45.12,-1.61,19.07,50.38,0,0,0,0,10,2023,Autumn,-6.998592233009709,-17.89281553398059,0.0
2016-08-27,guangzhou,China,78.25,31.69,58.49,75.95,11.81,453.45,8.63,55.92,35.49,0.0,101.64,0,0,0,0,8,2016,Summer,6.633869565217388,-90.8162173913044,0.0
2015-12-20,dubai,UAE,43.88,28.04,45.5,49.41,12.31,449.92,7.99,35.34,30.51,31.42,59.95,0,0,0,0,12,2015,Winter,-11.342889908256886,25.19087155963303,0.0
2018-02-28,dubai,UAE,5.22,34.31,27.23,51.98,15.77,444.4,10.97,3.57,36.91,68.79,33.84,0,0,1,0,2,2018,Winter,-5.072889908256883,-13.469128440366973,33.333333333333336
2021-06-02,kashmir,India,185.57,26.59,54.32,62.56,12.19,389.08,7.65,138.0,29.72,0.0,198.75,0,1,0,0,6,2021,Summer,7.607384615384614,-66.95379487179488,33.333333333333336
2016-07-10,kashmir,India,421.09,27.99,88.3,73.98,15.33,381.75,7.55,376.25,31.69,0.0,437.07,0,1,0,0,7,2016,Summer,9.007384615384613,168.5662051282051,33.333333333333336
2017-12-02,moscow,Russia,57.35,8.42,42.46,56.3,5.9,420.41,3.79,46.08,11.24,14.5,57.35,0,0,0,0,12,2017,Winter,0.4132512315270933,-30.828128078817734,0.0
2017-11-23,gujarat,India,47.22,26.08,44.3,50.7,9.69,441.15,8.81,40.9,28.61,27.43,59.38,0,0,0,0,11,2017,Autumn,-9.409687499999997,-14.935803571428572,0.0
2015-11-25,novosibirsk,Russia,2.85,-8.67,42.56,59.84,13.95,411.7,1.5,2.55,-5.68,67.23,2.85,0,0,0,0,11,2015,Autumn,-11.008592233009708,-65.4228155339806,0.0
2022-05-21,florida,USA,182.63,32.18,73.44,81.97,20.3,418.29,11.96,134.66,36.28,0.0,206.98,0,1,0,0,5,2022,Spring,6.023333333333333,57.6485,33.333333333333336
2024-02-17,california,USA,84.43,17.73,36.73,48.85,5.68,443.02,5.3,77.24,20.18,0.0,84.43,0,0,0,0,2,2024,Winter,-4.820353535353533,2.2556565656565652,0.0
2023-07-27,london,UK,171.22,19.96,62.72,67.61,10.34,421.44,7.17,156.3,23.34,0.0,171.22,0,0,0,0,7,2023,Summer,7.32587064676617,23.59218905472636,0.0
2016-03-13,kashmir,India,105.79,23.95,53.11,60.91,10.61,397.6,8.41,93.88,27.0,0.0,113.69,0,0,0,0,3,2016,Spring,4.9673846153846135,-146.73379487179488,0.0
2020-08-11,gujarat,India,111.49,39.61,49.65,52.78,8.31,456.27,12.02,93.97,42.25,0.0,150.71,0,0,0,0,8,2020,Summer,4.120312500000004,49.334196428571424,0.0
2016-08-18,beijing,China,29.44,22.3,43.24,52.44,8.44,484.21,4.51,27.42,24.92,44.34,34.03,0,0,0,0,8,2016,Summer,8.05520202020202,-28.769292929292927,0.0
2017-08-02,guangzhou,China,154.07,29.32,76.6,83.22,14.69,480.65,8.9,96.61,33.48,0.0,172.72,0,1,0,0,8,2017,Summer,4.263869565217387,-14.996217391304413,33.333333333333336
2018-01-28,florida,USA,107.97,19.51,69.67,79.37,5.23,413.06,7.19,66.85,23.48,0.0,107.97,0,0,0,0,1,2018,Winter,-6.646666666666665,-17.011499999999998,0.0
2019-05-09,lahore,Pakistan,35.84,36.93,53.91,63.85,8.73,456.28,9.04,27.18,40.13,32.23,69.71,0,0,0,0,5,2019,Spring,7.933105263157895,-21.19052631578947,0.0
2025-09-30,novosibirsk,Russia,0.0,0.78,48.79,64.73,19.4,432.69,4.23,0.0,4.02,67.64,0.0,0,0,0,0,9,2025,Autumn,-1.5585922330097086,-68.27281553398059,0.0
2023-06-29,california,USA,104.27,28.31,46.96,60.0,12.6,431.58,8.19,95.33,31.31,0.0,120.89,0,0,0,0,6,2023,Summer,5.759646464646465,22.095656565656554,0.0
2024-08-22,dubai,UAE,33.89,44.57,36.33,43.03,12.94,455.99,14.9,26.67,46.72,44.6,83.03,0,0,0,1,8,2024,Summer,5.187110091743115,15.200871559633029,33.333333333333336
2023-03-23,kashmir,India,122.84,18.05,44.85,57.96,19.01,392.22,8.3,74.87,20.95,0.0,122.84,0,0,0,0,3,2023,Spring,-0.9326153846153851,-129.68379487179487,0.0
2020-04-27,novosibirsk,Russia,106.92,11.18,48.33,64.35,10.6,427.5,4.16,73.25,14.4,0.0,106.92,0,0,0,0,4,2020,Spring,8.84140776699029,38.64718446601941,0.0
2017-12-24,novosibirsk,Russia,72.37,-6.86,50.47,59.59,10.76,421.16,0.23,54.1,-3.88,0.0,72.37,0,0,0,0,12,2017,Winter,-9.198592233009709,4.097184466019414,0.0
2018-04-08,manchester,UK,223.45,8.99,62.25,75.92,15.03,405.66,3.09,166.09,12.78,0.0,223.45,0,1,0,0,4,2018,Spring,-1.6450943396226432,50.8388679245283,33.333333333333336
2022-11-13,delhi,India,68.21,26.88,45.36,57.28,16.41,471.49,9.3,51.08,29.74,3.16,81.97,0,0,0,0,11,2022,Autumn,-6.046439024390242,-33.08063414634148,0.0
2024-05-22,london,UK,26.29,25.42,73.79,78.36,6.85,406.27,6.23,182.8,24.34,0.0,263.76,2,1,1,0,5,2024,Spring,12.78587064676617,-121.33781094527365,66.66666666666667
2025-09-14,gujarat,India,97.66,37.98,51.2,60.15,15.93,469.73,13.55,64.59,40.99,0.0,133.62,0,0,0,0,9,2025,Autumn,2.4903125000000017,35.504196428571426,0.0
2016-02-07,islamabad,Pakistan,82.46,22.85,53.1,67.27,11.1,431.22,8.59,75.9,26.21,0.0,88.16,0,0,0,0,2,2016,Winter,-2.5449773755656118,-3.8622171945701353,0.0
2022-05-23,texas,USA,121.01,35.39,42.88,56.23,12.58,431.26,10.97,113.06,38.2,0.0,151.78,0,0,0,0,5,2022,Spring,6.719124423963134,44.39631336405532,0.0
2025-05-24,florida,USA,147.69,34.83,57.68,78.25,15.07,419.54,12.57,112.38,38.75,0.0,177.36,0,0,0,0,5,2025,Spring,8.673333333333332,22.7085,0.0
2022-05-21,abudhabi,UAE,5.77,47.6,39.68,51.09,17.14,481.96,15.28,4.75,50.15,68.69,60.96,0,0,1,1,5,2022,Spring,9.978613861386137,-9.721633663366337,66.66666666666667
2022-10-08,abudhabi,UAE,33.55,37.99,39.37,55.14,12.41,463.95,10.82,31.87,40.74,38.88,69.52,0,0,0,0,10,2022,Autumn,0.3686138613861374,18.05836633663366,0.0
2025-02-17,moscow,Russia,96.49,2.61,52.87,65.9,8.14,451.16,2.53,59.75,5.91,0.0,96.49,0,0,0,0,2,2025,Winter,-5.396748768472907,8.31187192118226,0.0
2024-02-18,newyork,USA,129.59,14.21,56.2,67.69,12.89,418.16,5.01,93.17,17.59,0.0,129.59,0,0,0,0,2,2024,Winter,-1.5848792270531398,10.295120772946873,0.0
2025-09-16,shanghai,China,35.14,20.72,57.37,71.75,13.13,505.44,5.8,21.38,24.31,28.99,36.58,0,0,0,0,9,2025,Autumn,2.2453488372093027,-84.32167441860464,0.0
2020-11-15,stpetersburg,Russia,63.61,1.57,54.34,75.24,9.96,439.73,0.0,52.14,5.33,0.0,63.61,0,0,0,0,11,2020,Autumn,-4.799205607476634,-30.319345794392518,0.0
2019-03-06,manchester,UK,247.24,7.02,79.21,87.9,10.87,389.77,2.04,173.98,11.42,0.0,247.24,0,1,0,0,3,2019,Spring,-3.615094339622644,74.62886792452832,33.333333333333336
2023-11-20,edinburgh,UK,79.91,0.07,61.91,73.58,13.1,393.51,2.03,72.68,3.75,0.0,79.91,0,0,0,0,11,2023,Autumn,-9.429537037037036,-77.55537037037038,0.0
2019-08-04,guangzhou,China,192.45,33.64,63.31,72.15,9.6,470.74,10.41,139.06,37.25,0.0,219.74,0,1,0,0,8,2019,Summer,8.583869565217388,23.383782608695583,33.333333333333336
2023-10-29,manchester,UK,113.45,3.9,65.44,77.15,9.79,396.68,3.08,76.96,7.76,0.0,113.45,0,0,0,0,10,2023,Autumn,-6.735094339622643,-59.161132075471684,0.0
2024-03-24,florida,USA,185.38,24.93,72.28,78.19,16.33,433.34,7.83,137.73,28.84,0.0,195.24,0,1,0,0,3,2024,Spring,-1.2266666666666666,60.3985,33.333333333333336
2022-04-29,texas,USA,111.81,33.99,61.84,73.97,11.93,427.32,11.48,85.89,37.69,0.0,139.79,0,0,0,0,4,2022,Spring,5.319124423963135,35.196313364055314,0.0
2021-06-16,kolkata,India,261.11,40.21,83.83,82.05,12.25,451.38,11.25,171.33,44.31,0.0,301.54,0,1,0,0,6,2021,Summer,9.983211009174315,63.191376146789025,33.333333333333336
2016-06-17,guangzhou,China,202.6,30.67,73.81,82.97,12.92,472.9,9.45,121.64,34.82,0.0,223.94,0,1,0,0,6,2016,Summer,5.613869565217389,33.53378260869559,33.333333333333336
2020-04-21,guangzhou,China,234.16,34.34,68.91,55.13,12.62,466.55,8.26,163.71,30.28,0.0,246.84,3,1,0,1,4,2020,Spring,9.28386956521739,65.09378260869559,66.66666666666667
2022-05-28,manchester,UK,261.55,18.64,76.17,83.38,15.01,407.69,7.89,200.29,22.81,0.0,261.55,0,1,0,0,5,2022,Spring,8.004905660377357,88.93886792452832,33.333333333333336
2019-08-20,novosibirsk,Russia,47.95,7.51,52.54,64.34,16.32,399.65,2.62,45.51,10.73,19.87,47.95,0,0,0,0,8,2019,Summer,5.171407766990291,-20.322815533980588,0.0
2016-01-25,guangzhou,China,166.71,16.39,71.12,77.49,12.98,452.29,5.48,138.21,20.26,0.0,166.71,0,0,0,0,1,2016,Winter,-8.666130434782612,-2.356217391304398,0.0
2016-05-11,dubai,UAE,0.0,43.68,24.96,44.43,18.64,458.83,14.61,0.0,45.9,77.79,47.35,0,0,1,1,5,2016,Spring,4.297110091743114,-18.68912844036697,66.66666666666667
2023-08-24,dubai,UAE,22.1,41.7,31.01,53.6,10.32,495.16,11.49,13.96,44.38,51.1,65.51,0,0,1,0,8,2023,Summer,2.3171100917431176,3.41087155963303,33.333333333333336
2015-11-13,london,UK,103.53,7.48,61.02,75.98,17.76,397.09,3.86,69.38,11.28,0.0,103.53,0,0,0,0,11,2015,Autumn,-5.154129353233831,-44.097810945273636,0.0
2023-01-15,moscow,Russia,96.32,7.01,50.49,61.41,11.52,442.96,2.3,80.73,10.08,0.0,96.32,0,0,0,0,1,2023,Winter,-0.9967487684729068,8.141871921182258,0.0
2024-02-26,manchester,UK,233.59,10.52,72.49,81.29,13.75,412.19,4.85,141.66,14.58,0.0,233.59,0,1,0,0,2,2024,Winter,-0.11509433962264382,60.978867924528316,33.333333333333336
2018-05-14,lahore,Pakistan,77.42,31.98,41.58,65.13,11.01,449.58,8.96,47.35,35.23,0.0,101.37,0,0,0,0,5,2018,Spring,2.9831052631578956,20.38947368421053,0.0
2017-02-14,moscow,Russia,80.24,4.25,56.41,74.94,10.22,431.23,2.87,67.98,8.0,0.0,80.24,0,0,0,0,2,2017,Winter,-3.7567487684729066,-7.938128078817741,0.0
2017-03-16,kashmir,India,129.29,15.12,55.55,61.77,15.58,391.98,6.75,92.94,18.2,0.0,129.29,0,0,0,0,3,2017,Spring,-3.8626153846153866,-123.23379487179488,0.0
2024-07-23,california,USA,109.47,29.93,52.07,59.01,20.73,445.67,10.22,68.0,32.88,0.0,129.34,0,0,0,0,7,2024,Summer,7.379646464646466,27.295656565656557,0.0
2021-07-17,guangzhou,China,178.97,32.38,68.93,82.12,11.9,480.23,12.02,142.17,36.49,0.0,203.73,0,1,0,0,7,2021,Summer,7.3238695652173895,9.903782608695593,33.333333333333336
2024-04-24,moscow,Russia,146.03,10.05,64.38,67.49,11.56,444.62,5.18,109.36,13.42,0.0,146.03,0,0,0,0,4,2024,Spring,2.043251231527094,57.851871921182266,0.0
2016-05-11,shanghai,China,176.01,26.96,67.95,80.24,16.31,489.34,9.15,161.09,30.97,0.0,189.93,0,1,0,0,5,2016,Spring,8.485348837209305,56.548325581395346,33.333333333333336
2023-10-01,newyork,USA,65.64,16.63,63.0,72.66,15.11,407.46,6.82,60.27,20.26,0.0,65.64,0,0,0,0,10,2023,Autumn,0.8351207729468584,-53.65487922705313,0.0
2024-05-17,shanghai,China,169.62,23.57,68.32,80.86,15.09,497.94,5.31,123.1,27.61,0.0,176.75,0,0,0,0,5,2024,Spring,5.095348837209304,50.15832558139536,0.0
2017-01-03,kashmir,India,147.28,11.56,65.65,69.04,9.17,372.54,2.71,92.16,15.01,0.0,147.28,0,0,0,0,1,2017,Winter,-7.422615384615385,-105.24379487179488,0.0
2021-05-10,newyork,USA,184.3,20.85,59.88,67.53,18.0,399.43,8.76,121.36,24.23,0.0,186.0,0,1,0,0,5,2021,Spring,5.055120772946861,65.00512077294688,33.333333333333336
2020-06-16,beijing,China,37.72,24.0,49.47,58.54,11.36,502.2,9.29,23.08,26.93,33.01,45.72,0,0,0,0,6,2020,Summer,9.755202020202018,-20.48929292929293,0.0
2018-10-23,florida,USA,40.83,28.86,57.0,83.15,8.48,414.41,10.1,31.36,33.02,17.6,58.55,0,0,0,0,10,2018,Autumn,2.703333333333333,-84.1515,0.0
2025-03-22,delhi,India,53.84,35.89,60.24,64.99,11.44,446.04,11.8,36.11,39.14,13.66,85.62,0,0,0,0,3,2025,Spring,2.9635609756097594,-47.45063414634147,0.0
2022-01-29,abudhabi,UAE,17.43,28.42,33.3,46.75,14.19,473.23,8.32,15.57,30.76,59.2,34.28,0,0,0,0,1,2022,Winter,-9.201386138613863,1.9383663366336634,0.0
2016-04-09,newyork,USA,160.21,25.01,68.05,71.01,16.75,413.01,9.4,118.21,28.56,0.0,170.23,0,1,0,0,4,2016,Spring,9.215120772946861,40.91512077294688,33.333333333333336
2023-01-19,delhi,India,17.62,22.43,47.7,64.66,9.58,466.65,6.72,14.58,25.66,50.05,22.48,0,0,0,0,1,2023,Winter,-10.496439024390241,-83.67063414634147,0.0
2021-05-01,gujarat,India,35.76,43.49,38.49,53.18,15.79,462.53,14.22,25.57,46.15,37.65,82.75,0,0,0,1,5,2021,Spring,8.000312500000007,-26.395803571428573,33.333333333333336
2019-10-26,california,USA,24.94,13.69,47.91,67.76,6.83,404.47,3.85,15.6,17.08,41.18,24.94,0,0,0,0,10,2019,Autumn,-8.860353535353534,-57.234343434343444,0.0
2017-07-17,london,UK,213.58,17.3,60.53,79.91,21.16,391.75,6.11,171.51,21.3,0.0,213.58,0,1,0,0,7,2017,Summer,4.6658706467661695,65.95218905472638,33.333333333333336
2025-09-12,manchester,UK,126.81,7.09,70.12,82.88,11.24,407.47,4.01,80.59,11.24,0.0,126.81,0,0,0,0,9,2025,Autumn,-3.5450943396226435,-45.801132075471685,0.0
2024-10-17,edinburgh,UK,59.85,3.16,64.61,78.9,5.72,416.42,0.66,44.57,7.11,0.7,59.85,0,0,0,0,10,2024,Autumn,-6.3395370370370365,-97.61537037037039,0.0
2022-04-17,beijing,China,69.72,21.11,47.12,57.76,12.64,515.97,6.24,48.09,24.0,1.4,71.93,0,0,0,0,4,2022,Spring,6.865202020202018,11.51070707070707,0.0
2020-11-21,gujarat,India,69.55,27.01,53.29,49.99,13.65,453.18,9.38,45.99,29.51,5.45,83.58,0,0,0,0,11,2020,Autumn,-8.479687499999994,7.394196428571426,0.0
2018-08-11,newyork,USA,106.45,23.81,57.51,77.55,14.77,398.93,8.63,88.88,27.69,0.0,114.07,0,0,0,0,8,2018,Summer,8.015120772946858,-12.844879227053127,0.0
2017-06-28,karachi,Pakistan,39.54,34.7,66.26,72.51,4.43,436.39,8.79,26.91,38.33,24.21,68.94,0,0,0,0,6,2017,Summer,3.7361990950226236,1.0095022624434336,0.0
2024-01-14,beijing,China,66.53,4.83,31.34,48.24,9.53,509.17,4.53,50.3,7.24,9.35,66.53,0,0,0,0,1,2024,Winter,-9.414797979797981,8.320707070707073,0.0
2023-01-30,beijing,China,49.6,11.86,37.54,46.75,13.01,510.46,5.73,40.1,14.2,27.02,49.6,0,0,0,0,1,2023,Winter,-2.384797979797982,-8.609292929292927,0.0
2020-07-28,mumbai,India,349.34,31.36,73.94,67.24,9.92,444.89,9.53,287.88,34.72,0.0,372.05,0,1,0,0,7,2020,Summer,1.3714009661835789,166.3705314009662,33.333333333333336
2021-06-22,texas,USA,113.24,33.31,49.09,58.21,9.89,428.11,7.86,90.95,36.22,0.0,139.86,0,0,0,0,6,2021,Summer,4.6391244239631355,36.62631336405531,0.0
2020-09-12,chennai,India,305.13,30.51,75.49,81.47,17.0,434.23,9.88,183.21,34.58,0.0,326.15,0,1,0,0,9,2020,Autumn,-1.7728712871287122,162.13232673267328,33.333333333333336
2017-07-11,texas,USA,77.97,28.69,45.86,61.23,13.09,427.89,9.95,70.38,31.75,0.0,95.35,0,0,0,0,7,2017,Summer,0.019124423963134518,1.3563133640553104,0.0
2015-11-25,shanghai,China,57.03,8.66,47.95,72.96,7.12,458.43,2.51,44.39,12.3,6.49,57.03,0,0,0,0,11,2015,Autumn,-9.814651162790696,-62.43167441860464,0.0
2021-03-10,stpetersburg,Russia,174.41,6.26,66.84,74.97,11.6,438.38,4.22,157.63,10.01,0.0,174.41,0,0,0,0,3,2021,Spring,-0.10920560747663455,80.48065420560748,0.0
2017-05-21,edinburgh,UK,225.28,15.27,70.03,76.82,7.85,373.12,6.31,212.09,19.11,0.0,225.28,0,1,0,0,5,2017,Spring,5.770462962962963,67.81462962962962,33.333333333333336
