Region,Temperature_C,Rainfall_mm,Humidity_%,CO2_ppm,Flood_Risk,Drought_Risk,Heatwave_Risk,Date
abudhabi,32.78,56.7,53.655,455.31,0,1,0,2021-02
abudhabi,33.26,7.37,47.47,444.35,0,1,0,2021-03
abudhabi,38.14,61.349999999999994,47.834999999999994,461.78,0,1,0,2021-04
abudhabi,44.78,107.41999999999999,48.405,459.605,0,0,1,2021-05
abudhabi,43.43,14.28,53.07,459.89,0,1,1,2021-06
abudhabi,43.358,67.17,48.436,454.61199999999997,0,1,1,2021-07
abudhabi,39.46,25.12,51.86,448.31,0,1,0,2021-09
abudhabi,33.739999999999995,22.12,50.870000000000005,464.58000000000004,0,1,0,2021-10
abudhabi,30.088,74.0,50.608,457.684,0,1,0,2021-11
abudhabi,31.403333333333336,49.12,46.93333333333334,472.25333333333333,0,1,0,2022-01
abudhabi,47.6,5.77,51.09,481.96,0,1,1,2022-05
abudhabi,43.595,6.32,46.07,475.435,0,1,1,2022-06
abudhabi,46.27,37.94,49.07,466.92,0,0,1,2022-07
abudhabi,41.1,42.33,46.844,460.83599999999996,0,1,1,2022-08
abudhabi,40.33,14.18,46.29,459.06,0,1,0,2022-09
abudhabi,39.5,70.75999999999999,49.913333333333334,467.82,0,1,1,2022-10
abudhabi,34.55,4.58,47.785,463.26,0,1,1,2022-11
abudhabi,31.35,22.61,53.6375,459.47,0,1,0,2022-12
abudhabi,25.02,9.31,57.66,463.54,0,0,0,2023-01
abudhabi,43.24,49.099999999999994,50.66,455.61,0,1,1,2023-04
abudhabi,46.72,5.68,44.35,457.16,0,1,1,2023-06
abudhabi,43.43,0.0,48.86,466.68,0,1,1,2023-07
abudhabi,40.0,7.47,53.405,478.06,0,1,1,2023-08
abudhabi,38.9,48.36,55.76,467.79,0,0,0,2023-09
abudhabi,30.675,37.96,49.515,460.21500000000003,0,0,0,2023-10
abudhabi,26.48,0.0,52.39,449.51,0,1,0,2023-11
abudhabi,28.31,0.0,59.97,470.64,0,1,0,2023-12
abudhabi,32.35666666666666,20.71,50.16,472.74666666666667,0,1,0,2024-01
abudhabi,33.785,5.2,49.965,470.365,0,1,0,2024-02
abudhabi,45.795,62.82000000000001,42.894999999999996,470.3,0,1,1,2024-05
abudhabi,47.9,6.61,50.87,458.42,0,1,1,2024-06
abudhabi,46.425,7.3,50.565,485.70500000000004,0,1,1,2024-07
abudhabi,45.03,0.0,41.26,462.38,0,1,1,2024-08
abudhabi,33.23,21.48,50.6,445.98,0,1,0,2024-10
abudhabi,32.79,28.53,49.260000000000005,457.845,0,1,0,2024-11
abudhabi,31.84,9.56,59.63,468.31,0,0,0,2024-12
abudhabi,37.3,17.65,48.04,467.3,0,1,0,2025-02
abudhabi,37.88,0.0,47.91,462.76,0,1,0,2025-03
abudhabi,41.26,0.0,52.63,471.52,0,1,0,2025-05
abudhabi,39.76,0.0,43.04,461.32,0,1,0,2025-06
abudhabi,44.98,27.56,50.84,478.97,0,1,1,2025-07
abudhabi,43.24,0.0,48.93,485.06,1,1,1,2025-08
abudhabi,37.3375,93.77,49.085,474.3725,0,1,0,2025-09
abudhabi,33.803333333333335,60.96,48.82333333333333,466.05,0,1,0,2025-10
beijing,5.495,220.0,57.895,479.4975,0,0,0,2015-12
beijing,4.32,77.52,55.51,477.4,0,0,0,2016-01
beijing,11.58,49.24,60.95,478.52,0,0,0,2016-02
beijing,14.686666666666667,272.86,59.48,489.84,0,0,0,2016-03
beijing,19.81,127.75,55.75,479.69,0,0,0,2016-04
beijing,18.83,89.96,55.19,480.24,0,0,0,2016-05
beijing,24.98,497.52,52.53666666666667,481.6466666666667,1,0,0,2016-07
beijing,21.276666666666667,109.13,54.02333333333333,482.26,0,0,0,2016-08
beijing,18.97,32.1,46.63,484.14,0,0,0,2016-09
beijing,12.4,153.82,60.096666666666664,488.80333333333334,0,0,0,2016-10
beijing,4.3133333333333335,122.82,55.576666666666675,482.22333333333336,0,0,0,2016-11
beijing,3.29,18.63,54.46,475.85,0,0,0,2016-12
beijing,9.413333333333334,224.26999999999998,51.36333333333334,479.3666666666666,0,0,0,2017-02
beijing,11.316666666666668,227.92000000000002,58.833333333333336,480.23,0,0,0,2017-03
beijing,18.3,192.49,52.445,487.775,0,0,0,2017-04
beijing,14.65,81.94,57.51,484.42,0,0,0,2017-05
beijing,18.45,115.49,56.045,491.78,0,0,0,2017-07
beijing,8.475,213.27,56.123333333333335,488.21166666666664,0,1,0,2017-10
beijing,5.265,55.099999999999994,52.705,487.71500000000003,0,0,0,2017-11
beijing,2.86,99.29,62.51333333333333,482.41,0,0,0,2017-12
beijing,7.79,44.29,59.16,479.99,0,0,0,2018-01
beijing,11.916666666666666,245.49,58.53,490.3999999999999,0,0,0,2018-02
beijing,14.175,221.16,51.695,489.395,0,0,0,2018-03
beijing,17.325,125.06,49.815,484.125,0,0,0,2018-04
beijing,26.16,33.34,62.9,482.5,0,0,0,2018-06
beijing,26.23,55.04,50.06,498.57,0,0,0,2018-07
beijing,19.1,79.95,53.1,493.56,0,0,0,2018-08
beijing,18.92,7.11,57.36,492.76,0,1,0,2018-09
beijing,13.515,62.14,54.435,489.125,0,1,0,2018-10
beijing,2.0,108.07,51.435,484.235,0,0,0,2018-12
beijing,8.77,137.54000000000002,56.085,485.42499999999995,0,0,0,2019-01
beijing,11.23,53.99,50.78,503.08,0,0,0,2019-02
beijing,15.193333333333333,165.14,52.086666666666666,490.30333333333334,0,0,0,2019-03
beijing,14.645,180.97,54.68000000000001,494.525,0,0,0,2019-04
beijing,19.924999999999997,166.42000000000002,52.11,489.815,0,0,0,2019-05
beijing,22.645,326.79,51.105000000000004,491.995,0,0,0,2019-06
beijing,19.365000000000002,162.79000000000002,55.11,493.28999999999996,0,0,0,2019-07
beijing,20.3,36.37,50.51,487.33,0,0,0,2019-08
beijing,16.044999999999998,59.55,48.44,483.695,0,0,0,2019-09
beijing,12.309999999999999,73.86,53.239999999999995,497.385,0,0,0,2019-11
beijing,6.01,0.0,44.92,500.18,0,1,0,2019-12
beijing,5.98,62.28,59.13,505.19500000000005,0,0,0,2020-01
beijing,11.17,43.17,63.64,502.23,0,0,0,2020-02
beijing,13.9,89.0,55.44,486.46,0,0,0,2020-03
beijing,17.285,195.2,49.695,482.105,0,0,0,2020-04
beijing,23.28,153.53,59.004999999999995,498.41,0,0,0,2020-05
beijing,21.1175,187.74,56.5775,486.59749999999997,0,0,0,2020-06
beijing,20.915,193.93,58.455,481.43,0,0,0,2020-07
beijing,20.11,45.12,58.52,502.45,0,0,0,2020-08
beijing,16.54,60.34,58.29,498.48,0,0,0,2020-09
beijing,10.535,130.17000000000002,54.5225,493.035,0,0,0,2020-10
beijing,7.79,19.65,54.39,492.79,0,0,0,2020-11
beijing,7.390000000000001,42.88,56.55,510.28499999999997,0,0,0,2020-12
beijing,7.6,45.72,56.3,504.32,0,0,0,2021-01
beijing,7.0,181.70999999999998,54.423333333333325,486.9533333333333,0,0,0,2021-02
beijing,13.4,336.01,53.8775,493.4525,0,0,0,2021-03
beijing,19.346666666666668,545.8399999999999,52.29333333333333,501.9633333333333,0,0,0,2021-04
beijing,20.74,58.7,51.02,503.27,0,0,0,2021-07
beijing,18.895,130.64,52.19,499.95000000000005,0,0,0,2021-08
beijing,15.985,82.74000000000001,56.215,511.22,0,0,0,2021-09
beijing,17.48,19.81,41.47,490.29,0,0,0,2021-10
beijing,8.323333333333332,64.17,53.35999999999999,495.5233333333333,0,0,0,2021-11
beijing,7.81,12.13,54.29,508.06,0,0,0,2021-12
beijing,6.83,61.52,52.96,506.05,0,0,0,2022-01
beijing,12.59,63.99,55.48,505.98,0,0,0,2022-02
beijing,21.11,69.72,57.76,515.97,0,0,0,2022-04
beijing,20.32,108.28,46.99,496.7,0,0,0,2022-05
beijing,25.57,51.4,52.37,507.05,0,0,0,2022-06
beijing,19.79,29.35,56.87,492.81,0,0,0,2022-07
beijing,22.76,35.12,58.77,490.06,0,0,0,2022-08
beijing,14.725000000000001,32.73,51.980000000000004,492.895,0,0,0,2022-09
beijing,10.1875,64.6,54.8725,491.9775,0,1,0,2022-10
beijing,7.540000000000001,49.55,53.295,497.805,0,0,0,2022-12
beijing,9.416666666666666,157.04,55.653333333333336,496.21999999999997,0,0,0,2023-01
beijing,10.17,82.08,57.3,495.78,0,0,0,2023-03
beijing,16.795,219.44,56.4,494.65,0,0,0,2023-04
beijing,16.76,85.4,65.55,502.69,0,0,0,2023-05
beijing,21.515,193.01999999999998,59.95,497.225,0,0,0,2023-07
beijing,18.22,79.32,53.36,515.69,0,0,0,2023-08
beijing,17.4,34.120000000000005,59.34,495.155,0,0,0,2023-09
beijing,11.13,4.24,59.92,500.12,0,0,0,2023-10
beijing,3.09,3.9,49.5,504.68,0,1,0,2023-11
beijing,11.22,22.31,57.48,504.17,0,0,0,2023-12
beijing,4.83,66.53,48.24,509.17,0,0,0,2024-01
beijing,10.016666666666666,182.31,60.86000000000001,494.6166666666666,0,0,0,2024-02
beijing,18.03,79.72,55.31,505.9,0,0,0,2024-03
beijing,15.74,125.54,54.18,503.34,0,0,0,2024-04
beijing,22.74,87.38,54.28,493.38,0,0,0,2024-05
beijing,25.676666666666666,270.35,51.01666666666667,499.02666666666664,0,0,0,2024-06
beijing,22.235,148.41,50.675,502.735,0,0,0,2024-07
beijing,20.15,117.86000000000001,54.8,497.625,0,0,0,2024-08
beijing,17.62,91.07,50.260000000000005,495.625,1,0,0,2024-09
beijing,15.695,76.35,51.465,505.03999999999996,0,0,0,2024-10
beijing,6.93,62.120000000000005,49.334999999999994,491.8,0,0,0,2024-11
beijing,9.6,40.85,52.26,491.27,0,0,0,2024-12
beijing,8.313333333333333,197.54,54.65,507.0133333333333,0,0,0,2025-02
beijing,15.395,127.12,55.57,512.685,0,0,0,2025-03
beijing,22.56,107.74000000000001,55.0,497.855,0,0,0,2025-05
beijing,19.049999999999997,120.78,59.75,513.74,0,0,0,2025-08
beijing,15.790000000000001,71.73,57.239999999999995,516.88,0,0,0,2025-09
beijing,15.36,78.24,52.2775,495.305,0,1,0,2025-10
california,15.96,57.15,54.19,406.87,0,0,0,2015-10
california,17.168333333333333,302.65,56.653333333333336,411.535,0,0,0,2015-11
california,9.43,72.4,66.31,400.84,0,0,0,2015-12
california,13.68,54.7,59.67,402.18,0,0,0,2016-01
california,20.25,120.35,62.83,390.09,0,0,0,2016-02
california,19.534999999999997,241.23,57.565,425.98,0,0,0,2016-03
california,25.549999999999997,279.34,57.34,406.52,0,0,0,2016-04
california,29.54,143.44,58.71,403.01,0,0,0,2016-05
california,27.655,189.81,59.675,414.55,0,0,0,2016-07
california,25.3,170.57,57.980000000000004,411.16999999999996,0,0,0,2016-08
california,19.04,70.84,62.64,414.67,0,0,0,2016-09
california,18.48,189.69,61.88,411.4975,0,0,0,2016-10
california,14.62,87.68,56.605000000000004,403.12,0,0,0,2016-11
california,13.79,129.1,64.115,402.895,0,0,0,2017-01
california,19.65,140.92,48.83,414.13,0,0,0,2017-03
california,30.94,71.56,57.33,418.47,0,0,0,2017-05
california,28.77,222.39,63.16,411.39,0,0,0,2017-06
california,29.95,174.57,59.085,407.19,0,0,0,2017-07
california,27.705,110.08,63.209999999999994,414.145,0,0,0,2017-08
california,22.189999999999998,194.26,61.14666666666667,416.00666666666666,0,0,0,2017-09
california,21.155,128.22,65.83500000000001,407.01,0,0,0,2017-10
california,15.089999999999998,176.72,56.946666666666665,418.74,0,0,0,2017-12
california,26.95,385.06999999999994,63.85,420.75666666666666,0,0,0,2018-04
california,29.91,145.0,66.86,408.24,0,0,0,2018-05
california,29.826666666666668,325.47,65.78666666666668,406.8833333333334,0,0,0,2018-06
california,25.39,78.02,63.36,401.62,0,0,0,2018-07
california,26.415,200.8,57.8,415.49,0,0,0,2018-08
california,19.596666666666668,119.09,59.31,432.0933333333333,0,0,0,2018-10
california,15.05,19.07,57.57,406.41,0,0,0,2018-11
california,14.51,46.62,63.09,409.38,0,0,0,2019-01
california,18.459999999999997,324.05,56.946666666666665,416.0466666666666,0,0,0,2019-02
california,20.09,219.89,58.335,410.17499999999995,0,0,0,2019-03
california,25.61,111.78,64.61,402.19,0,0,0,2019-04
california,27.855,126.82,59.504999999999995,416.805,0,0,0,2019-07
california,23.549999999999997,88.56,61.33,422.97,0,0,0,2019-08
california,17.98,28.5,61.62,428.2,0,0,0,2019-09
california,15.583333333333334,108.78999999999999,65.43,411.34666666666664,0,0,0,2019-10
california,15.576666666666668,129.06,66.12333333333333,415.33,0,0,0,2019-12
california,15.326666666666668,213.79,54.93666666666667,428.0466666666667,0,0,0,2020-01
california,17.12,113.87,57.19,408.78999999999996,0,0,0,2020-02
california,18.83,226.82999999999998,64.25999999999999,421.15999999999997,0,0,0,2020-03
california,25.105,269.40000000000003,59.1,413.175,0,0,0,2020-04
california,24.54,104.16,62.17,415.64,0,0,0,2020-05
california,31.27,134.54,58.53,413.05,0,0,0,2020-06
california,30.724999999999998,188.56,62.43,433.765,0,0,0,2020-07
california,29.11,235.37,60.72333333333333,429.97333333333336,0,0,0,2020-08
california,21.95,88.99,62.59,414.09,0,0,0,2020-09
california,23.51,40.31,52.62,442.09,0,0,0,2020-10
california,14.48,245.55,62.564,428.88199999999995,0,0,0,2020-11
california,15.555,123.1,55.945,414.685,0,0,0,2021-01
california,18.536666666666665,232.98000000000002,55.35999999999999,420.75666666666666,0,0,0,2021-02
california,30.314999999999998,241.12,56.355000000000004,436.555,0,0,0,2021-05
california,29.674,333.43,63.414,431.70200000000006,0,1,0,2021-08
california,19.83,61.37,66.61,416.98,0,0,0,2021-09
california,18.396666666666665,52.669999999999995,63.14666666666667,424.1766666666667,0,0,0,2021-10
california,16.76,83.14,55.51,430.33,0,0,0,2021-11
california,15.045,201.8,59.0275,420.68,0,0,0,2021-12
california,18.44,99.2,64.56,440.61,0,0,0,2022-02
california,24.310000000000002,314.97,63.343333333333334,421.7733333333333,0,0,0,2022-03
california,28.15,287.9,59.68,420.12,1,0,0,2022-04
california,29.0125,547.26,57.12,431.5625,1,0,0,2022-05
california,28.08,105.94,66.25,439.66,0,0,0,2022-06
california,32.91,115.03,64.79,443.56,0,0,0,2022-07
california,25.939999999999998,92.22,61.535,436.14,0,0,0,2022-09
california,14.48,28.12,50.35,429.1,0,0,0,2022-10
california,13.33,44.48,60.56,421.99,0,0,0,2022-11
california,15.82,75.27,55.3,423.45,0,0,0,2022-12
california,16.98,88.91,63.57,427.17,0,0,0,2023-01
california,15.11,147.54,63.61,418.98,0,0,0,2023-02
california,24.54,194.57,53.39,416.17,0,0,0,2023-04
california,28.073333333333334,310.04,60.13666666666666,433.39000000000004,0,0,0,2023-05
california,31.306,529.46,60.025999999999996,429.858,0,0,0,2023-06
california,30.15,174.01999999999998,59.785,418.96,0,0,0,2023-07
california,18.009999999999998,89.83,60.665,428.71000000000004,0,0,0,2023-10
california,20.975,84.12,54.82,429.41999999999996,0,0,1,2023-11
california,13.82,86.25999999999999,51.72,419.0,0,0,0,2023-12
california,17.035,112.44,57.394999999999996,449.43,0,0,0,2024-01
california,20.605,400.64,60.745,431.6375,0,0,0,2024-02
california,21.935000000000002,228.03,65.36,440.56,0,0,0,2024-03
california,28.189999999999998,393.93,56.919999999999995,429.3866666666667,0,0,0,2024-04
california,31.25,335.02,61.29333333333333,437.34,0,0,0,2024-07
california,27.325,149.16,60.215,428.765,0,0,0,2024-08
california,23.49,47.21,53.05,438.01,0,0,0,2024-09
california,21.235,62.83,57.175,444.145,0,0,0,2024-10
california,13.65,76.11,60.04,427.36,0,0,0,2024-11
california,13.57,136.98000000000002,64.035,438.235,0,0,0,2025-01
california,21.3,365.07,59.43333333333334,429.1933333333333,0,0,0,2025-02
california,23.49,111.52,57.42,439.17,0,0,0,2025-03
california,28.736666666666668,394.06,54.84,437.2266666666667,0,0,0,2025-04
california,27.33,185.99,59.96,432.8,1,0,0,2025-05
california,29.89,85.12,63.66,447.66,0,0,0,2025-06
california,30.258000000000003,479.19,64.142,436.95200000000006,0,0,0,2025-07
california,27.6,90.64,67.17,435.27,0,0,0,2025-08
california,22.8,132.8,63.68,431.66999999999996,0,0,0,2025-09
california,22.87,93.4,52.49,428.03999999999996,0,0,0,2025-10
chennai,18.46,124.91,78.03,426.76,0,0,0,2015-11
chennai,20.39,253.73,77.77333333333333,426.7,0,0,0,2015-12
chennai,21.8,71.4,76.12,418.5,0,0,0,2016-01
chennai,25.99,76.35,79.23,440.32,0,0,0,2016-02
chennai,29.865000000000002,190.08999999999997,76.58,419.77,0,0,0,2016-03
chennai,37.3,121.52,86.11,435.74,0,0,0,2016-04
chennai,43.54,184.46,83.39,414.38,1,0,1,2016-06
chennai,35.92,239.57,73.75,436.14,1,0,0,2016-07
chennai,32.53,1160.57,78.5575,429.0475,1,0,0,2016-08
chennai,35.71,292.23,75.83,427.01,1,0,0,2016-09
chennai,23.7,133.38,71.4,418.72,0,0,0,2016-11
chennai,26.59,100.49,78.22,426.27,0,0,0,2016-12
chennai,27.31,91.27,80.96,434.07,0,0,0,2017-01
chennai,26.465000000000003,159.22,73.4,427.05,0,0,0,2017-02
chennai,28.89,226.39,79.19,415.365,0,0,0,2017-03
chennai,38.995000000000005,183.24,70.00999999999999,432.39,0,0,1,2017-04
chennai,37.82000000000001,448.43,79.102,428.57399999999996,0,0,0,2017-05
chennai,40.64,134.46,68.75,432.92,0,0,0,2017-06
chennai,40.52,264.35,79.47,446.65,1,0,0,2017-07
chennai,38.72,290.88,78.13,439.68,1,0,0,2017-08
chennai,35.443333333333335,794.5799999999999,71.90333333333332,428.32666666666665,1,0,0,2017-09
chennai,25.175,160.17000000000002,78.915,421.52,0,0,0,2017-10
chennai,24.406666666666666,353.48,81.16333333333334,425.75333333333333,0,0,0,2017-11
chennai,24.105,129.61,74.725,430.89,0,0,0,2018-01
chennai,26.7,85.11,85.28,446.07,0,0,0,2018-02
chennai,33.5,81.17,79.85,453.82,0,0,0,2018-04
chennai,37.663333333333334,255.91,79.96333333333332,439.80333333333334,0,0,0,2018-05
chennai,40.74,165.25,76.81,445.36,1,0,0,2018-06
chennai,40.69,222.42,77.19,428.46,1,0,0,2018-07
chennai,35.52,262.2,75.81,444.44,1,0,0,2018-08
chennai,33.29666666666667,838.3399999999999,76.18333333333334,437.2366666666667,1,0,0,2018-09
chennai,28.005000000000003,256.11,75.57,438.20500000000004,0,0,0,2018-10
chennai,26.57,572.63,81.622,434.04200000000003,0,0,0,2018-11
chennai,23.29,199.67000000000002,80.05,421.17499999999995,0,0,0,2018-12
chennai,27.13,25.57,76.4,438.72,0,0,0,2019-02
chennai,26.68,77.43,81.2,436.26,0,0,0,2019-03
chennai,31.7725,303.14,77.55,426.52,0,0,0,2019-04
chennai,37.95,99.68,80.34,431.35,0,0,0,2019-05
chennai,38.95666666666667,425.84000000000003,76.24,445.37999999999994,1,0,0,2019-06
chennai,38.410000000000004,1305.6399999999999,82.33333333333333,439.16333333333336,1,0,0,2019-07
chennai,27.8475,370.14,77.81,431.82,1,1,0,2019-10
chennai,27.56,125.54,78.03,438.11,0,0,0,2019-11
chennai,23.56,66.13,80.35,429.12,0,0,0,2019-12
chennai,27.03,101.89,79.685,447.93,0,0,0,2020-02
chennai,31.44,229.87,74.87,447.08500000000004,1,0,0,2020-03
chennai,39.65,75.39,80.48,432.78,0,0,0,2020-05
chennai,41.4,193.15,80.24,424.3,1,0,1,2020-06
chennai,36.73,686.52,79.64333333333333,439.10999999999996,1,0,0,2020-07
chennai,34.199999999999996,871.01,75.94666666666666,441.6366666666667,1,0,0,2020-08
chennai,30.51,305.13,81.47,434.23,1,0,0,2020-09
chennai,30.116666666666664,354.96999999999997,75.11999999999999,436.41,0,0,0,2020-10
chennai,22.855,188.29,74.725,429.245,0,0,0,2020-12
chennai,25.380000000000003,171.45,79.355,446.99,0,0,0,2021-01
chennai,21.05,34.25,77.63,434.77,0,0,0,2021-02
chennai,31.11,140.85,77.94,439.96500000000003,0,0,0,2021-03
chennai,31.95,75.99,76.6,420.74,0,0,0,2021-04
chennai,41.41,120.94999999999999,79.72,448.14,0,1,1,2021-05
chennai,38.26,196.3,72.63,427.33,1,0,0,2021-06
chennai,38.0425,889.64,83.4525,437.2325,1,0,1,2021-07
chennai,23.26,73.99,73.24,435.92,0,0,0,2021-10
chennai,29.69,81.24,74.9,443.61,0,0,0,2021-11
chennai,24.0,91.75,86.12,439.8,0,0,0,2021-12
chennai,32.4,118.85,77.05,440.81,0,0,0,2022-03
chennai,39.09,128.16,75.78,440.75,0,0,1,2022-04
chennai,37.42,89.08,72.16,456.62,0,0,0,2022-05
chennai,42.62,484.03,77.53666666666668,449.74666666666667,1,0,1,2022-06
chennai,38.782,1142.24,80.27799999999999,437.13599999999997,1,0,1,2022-07
chennai,34.03,282.26,84.24,440.08,1,0,0,2022-08
chennai,34.225,1083.59,80.83250000000001,441.68,1,0,0,2022-09
chennai,23.276666666666667,327.88,78.94666666666667,435.60999999999996,0,0,0,2022-11
chennai,25.88,52.54,72.77,444.91,0,0,0,2022-12
chennai,23.905,208.12,74.22749999999999,434.9875,0,0,0,2023-01
chennai,38.16,82.24,87.15,454.93,0,0,0,2023-03
chennai,36.19,120.05000000000001,76.66499999999999,446.89,0,0,0,2023-04
chennai,40.232,417.57,78.716,446.642,0,0,1,2023-05
chennai,36.34,119.46,75.6,470.39,0,0,0,2023-06
chennai,39.105,445.46,81.335,455.725,1,0,1,2023-07
chennai,35.86,554.29,71.72,446.90999999999997,1,0,0,2023-08
chennai,33.36,309.28,73.97,446.88,1,0,0,2023-09
chennai,31.17,71.25,81.82,461.46,0,0,0,2023-10
chennai,23.08,285.49,72.79,444.68,0,0,0,2023-11
chennai,22.7,262.05,77.81666666666666,430.46000000000004,0,0,0,2023-12
chennai,22.71,155.7,79.185,445.275,0,0,0,2024-01
chennai,30.266666666666666,242.52,77.35000000000001,456.76666666666665,0,0,0,2024-03
chennai,34.878,366.40999999999997,77.90599999999999,445.05600000000004,0,0,0,2024-04
chennai,41.5025,314.93,74.89750000000001,440.85,0,1,1,2024-05
chennai,38.01,87.67,72.34,446.88,0,0,0,2024-06
chennai,38.11,265.24,80.96,460.93,1,0,0,2024-07
chennai,31.7,814.42,76.08999999999999,443.31,1,0,0,2024-09
chennai,29.095,230.2,83.29499999999999,447.955,0,0,0,2024-10
chennai,24.25333333333333,323.05,75.97333333333334,448.08,0,0,0,2024-11
chennai,34.38333333333333,212.26,71.57666666666667,446.5733333333333,0,0,0,2025-03
chennai,38.09,92.31,81.89500000000001,460.62,0,0,0,2025-04
chennai,42.02,135.02,75.96,442.96,0,0,1,2025-05
chennai,36.29,138.32,72.77,448.35,0,0,0,2025-06
chennai,34.27,463.03999999999996,81.38,458.825,1,0,0,2025-07
chennai,35.42333333333334,827.49,75.37,456.08666666666664,1,0,0,2025-08
chennai,33.209999999999994,579.95,77.02000000000001,454.69,1,0,0,2025-09
chennai,28.01,247.78,81.63,467.51,0,0,0,2025-10
delhi,24.94,66.38,66.55,448.8,0,0,0,2015-11
delhi,30.79,93.25999999999999,64.105,444.36,0,0,0,2016-02
delhi,32.03666666666667,131.35000000000002,62.076666666666675,450.7033333333334,0,0,0,2016-03
delhi,36.64,34.36,59.05,441.56,0,0,0,2016-04
delhi,41.52,149.15,55.4,445.05,0,0,0,2016-05
delhi,41.92,150.73,54.03,449.07,1,0,0,2016-06
delhi,31.655,384.49,59.620000000000005,440.94500000000005,1,0,0,2016-09
delhi,25.099999999999998,269.43,57.949999999999996,440.51666666666665,0,0,0,2016-10
delhi,25.25,185.34,61.2325,443.1575,0,1,0,2016-12
delhi,28.15,59.35,68.44,447.75,0,0,0,2017-03
delhi,35.6,89.86,60.39,448.565,0,0,0,2017-04
delhi,43.59,33.84,59.26,458.78,0,0,1,2017-05
